motif_id	sample_id	max_AF_region_count	max_FPS_region_count
AHR_AHR_HUMAN.H11MO.0.B	S6R691V_her2	4	3
AHR_AHR_HUMAN.H11MO.0.B	PU24GB8_lumB	4	0
AHR_AHR_HUMAN.H11MO.0.B	ANAB5F7_basal	4	17
AHR_AHR_HUMAN.H11MO.0.B	98JKPD8_lumA	4	4
AHR_AHR_HUMAN.H11MO.0.B	2GAMBDQ_norm	9	1
AIRE_AIRE_HUMAN.H11MO.0.C	PU24GB8_lumB	7	3
AIRE_AIRE_HUMAN.H11MO.0.C	S6R691V_her2	9	16
AIRE_AIRE_HUMAN.H11MO.0.C	ANAB5F7_basal	11	21
AIRE_AIRE_HUMAN.H11MO.0.C	98JKPD8_lumA	10	20
AIRE_AIRE_HUMAN.H11MO.0.C	2GAMBDQ_norm	24	1
ALX1_ALX1_HUMAN.H11MO.0.B	PU24GB8_lumB	3	1
ALX1_ALX1_HUMAN.H11MO.0.B	S6R691V_her2	3	11
ALX1_ALX1_HUMAN.H11MO.0.B	ANAB5F7_basal	3	21
ALX1_ALX1_HUMAN.H11MO.0.B	98JKPD8_lumA	10	9
ALX1_ALX1_HUMAN.H11MO.0.B	2GAMBDQ_norm	23	0
ANDR_ANDR_HUMAN.H11MO.0.A	2GAMBDQ_norm	137	20
ANDR_ANDR_HUMAN.H11MO.0.A	PU24GB8_lumB	26	23
ANDR_ANDR_HUMAN.H11MO.0.A	ANAB5F7_basal	46	118
ANDR_ANDR_HUMAN.H11MO.0.A	98JKPD8_lumA	89	95
ANDR_ANDR_HUMAN.H11MO.0.A	S6R691V_her2	34	76
AP2A_AP2A_HUMAN.H11MO.0.A	PU24GB8_lumB	15	9
AP2A_AP2A_HUMAN.H11MO.0.A	S6R691V_her2	27	46
AP2A_AP2A_HUMAN.H11MO.0.A	ANAB5F7_basal	28	80
AP2A_AP2A_HUMAN.H11MO.0.A	2GAMBDQ_norm	92	3
AP2A_AP2A_HUMAN.H11MO.0.A	98JKPD8_lumA	43	67
AP2B_AP2B_HUMAN.H11MO.0.B	2GAMBDQ_norm	50	2
AP2B_AP2B_HUMAN.H11MO.0.B	98JKPD8_lumA	21	66
AP2B_AP2B_HUMAN.H11MO.0.B	ANAB5F7_basal	23	35
AP2B_AP2B_HUMAN.H11MO.0.B	S6R691V_her2	14	16
AP2B_AP2B_HUMAN.H11MO.0.B	PU24GB8_lumB	20	9
AP2C_AP2C_HUMAN.H11MO.0.A	S6R691V_her2	26	28
AP2C_AP2C_HUMAN.H11MO.0.A	PU24GB8_lumB	19	9
AP2C_AP2C_HUMAN.H11MO.0.A	ANAB5F7_basal	28	113
AP2C_AP2C_HUMAN.H11MO.0.A	98JKPD8_lumA	48	51
AP2C_AP2C_HUMAN.H11MO.0.A	2GAMBDQ_norm	83	3
ARI5B_ARI5B_HUMAN.H11MO.0.C	S6R691V_her2	8	3
ARI5B_ARI5B_HUMAN.H11MO.0.C	ANAB5F7_basal	10	20
ARI5B_ARI5B_HUMAN.H11MO.0.C	98JKPD8_lumA	7	18
ARI5B_ARI5B_HUMAN.H11MO.0.C	2GAMBDQ_norm	19	3
ARI5B_ARI5B_HUMAN.H11MO.0.C	PU24GB8_lumB	3	3
ARNT_ARNT_HUMAN.H11MO.0.B	98JKPD8_lumA	2	7
ARNT_ARNT_HUMAN.H11MO.0.B	2GAMBDQ_norm	13	0
ARNT_ARNT_HUMAN.H11MO.0.B	ANAB5F7_basal	0	13
ARNT_ARNT_HUMAN.H11MO.0.B	PU24GB8_lumB	2	0
ARNT_ARNT_HUMAN.H11MO.0.B	S6R691V_her2	8	5
ASCL1_ASCL1_HUMAN.H11MO.0.A	ANAB5F7_basal	21	108
ASCL1_ASCL1_HUMAN.H11MO.0.A	98JKPD8_lumA	45	60
ASCL1_ASCL1_HUMAN.H11MO.0.A	2GAMBDQ_norm	83	2
