motif_id	region_id	sample_id
RFX3_RFX3_HUMAN.H11MO.0.B	chr21:39445773-39445787	98JKPD8_lumA
RFX3_RFX3_HUMAN.H11MO.0.B	chr10:133261979-133261993	98JKPD8_lumA
RFX3_RFX3_HUMAN.H11MO.0.B	chr11:125592258-125592272	98JKPD8_lumA
RFX3_RFX3_HUMAN.H11MO.0.B	chr20:18957041-18957055	98JKPD8_lumA
RFX3_RFX3_HUMAN.H11MO.0.B	chr3:13264305-13264319	98JKPD8_lumA
RFX3_RFX3_HUMAN.H11MO.0.B	chr12:133079702-133079716	ANAB5F7_basal
RFX3_RFX3_HUMAN.H11MO.0.B	chr17:63773027-63773041	98JKPD8_lumA
RFX3_RFX3_HUMAN.H11MO.0.B	chr7:135677664-135677678	ANAB5F7_basal
RFX3_RFX3_HUMAN.H11MO.0.B	chr1:21574395-21574409	2GAMBDQ_norm
RFX3_RFX3_HUMAN.H11MO.0.B	chr6:11223525-11223539	ANAB5F7_basal
