motif_id	region_id	sample_id
INSM1_INSM1_HUMAN.H11MO.0.C	chr17:80901495-80901507	ANAB5F7_basal
INSM1_INSM1_HUMAN.H11MO.0.C	chr5:138753390-138753402	2GAMBDQ_norm
INSM1_INSM1_HUMAN.H11MO.0.C	chr2:10044221-10044233	2GAMBDQ_norm
INSM1_INSM1_HUMAN.H11MO.0.C	chr20:62366001-62366013	2GAMBDQ_norm
INSM1_INSM1_HUMAN.H11MO.0.C	chr17:31549917-31549929	PU24GB8_lumB
INSM1_INSM1_HUMAN.H11MO.0.C	chr12:32896961-32896973	2GAMBDQ_norm
INSM1_INSM1_HUMAN.H11MO.0.C	chr18:48997036-48997048	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chr1:46719409-46719421	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chr11:130897295-130897307	2GAMBDQ_norm
INSM1_INSM1_HUMAN.H11MO.0.C	chr3:136195872-136195884	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chr19:10644227-10644239	ANAB5F7_basal
INSM1_INSM1_HUMAN.H11MO.0.C	chr12:124904725-124904737	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chr19:48589286-48589298	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chr10:133262167-133262179	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chr7:20331769-20331781	ANAB5F7_basal
INSM1_INSM1_HUMAN.H11MO.0.C	chr8:104325635-104325647	ANAB5F7_basal
INSM1_INSM1_HUMAN.H11MO.0.C	chr8:26458579-26458591	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chrX:23901388-23901400	2GAMBDQ_norm
INSM1_INSM1_HUMAN.H11MO.0.C	chr6:75749781-75749793	98JKPD8_lumA
INSM1_INSM1_HUMAN.H11MO.0.C	chr3:115196002-115196014	S6R691V_her2
INSM1_INSM1_HUMAN.H11MO.0.C	chr19:46222240-46222252	2GAMBDQ_norm
INSM1_INSM1_HUMAN.H11MO.0.C	chr16:89765407-89765419	ANAB5F7_basal
