motif_id	region_id	sample_id
ZIC2_M08233_2.00	chr1:25023113-25023124	ANAB5F7_basal
ZIC2_M08233_2.00	chr18:8990704-8990715	98JKPD8_lumA
ZIC2_M08233_2.00	chr1:216903218-216903229	ANAB5F7_basal
ZIC2_M08233_2.00	chr1:1074089-1074100	S6R691V_her2
ZIC2_M08233_2.00	chr14:77028992-77029003	98JKPD8_lumA
ZIC2_M08233_2.00	chr14:80941749-80941760	ANAB5F7_basal
ZIC2_M08233_2.00	chr12:106987119-106987130	ANAB5F7_basal
ZIC2_M08233_2.00	chr5:60844245-60844256	ANAB5F7_basal
ZIC2_M08233_2.00	chr19:40921628-40921639	PU24GB8_lumB
ZIC2_M08233_2.00	chr19:6737493-6737504	ANAB5F7_basal
ZIC2_M08233_2.00	chr2:88627209-88627220	98JKPD8_lumA
ZIC2_M08233_2.00	chr17:2030077-2030088	ANAB5F7_basal
ZIC2_M08233_2.00	chr7:55086682-55086693	ANAB5F7_basal
ZIC2_M08233_2.00	chr2:173449352-173449363	ANAB5F7_basal
ZIC2_M08233_2.00	chr15:100335657-100335668	ANAB5F7_basal
ZIC2_M08233_2.00	chr1:43935708-43935719	98JKPD8_lumA
ZIC2_M08233_2.00	chr3:42988835-42988846	98JKPD8_lumA
ZIC2_M08233_2.00	chr5:177930565-177930576	S6R691V_her2
ZIC2_M08233_2.00	chr9:136690904-136690915	S6R691V_her2
ZIC2_M08233_2.00	chr17:386648-386659	98JKPD8_lumA
ZIC2_M08233_2.00	chr15:22665130-22665141	98JKPD8_lumA
ZIC2_M08233_2.00	chr1:203154564-203154575	2GAMBDQ_norm
