motif_id	region_id	sample_id
RXRA_M07994_2.00	chr22:46935900-46935915	PU24GB8_lumB
RXRA_M07994_2.00	chr17:50533800-50533815	S6R691V_her2
RXRA_M07994_2.00	chr2:175181685-175181700	ANAB5F7_basal
RXRA_M07994_2.00	chr14:91510708-91510723	S6R691V_her2
RXRA_M07994_2.00	chr11:844054-844069	98JKPD8_lumA
RXRA_M07994_2.00	chr9:89757206-89757221	98JKPD8_lumA
RXRA_M07994_2.00	chr12:1562854-1562869	ANAB5F7_basal
RXRA_M07994_2.00	chr1:193058857-193058872	98JKPD8_lumA
RXRA_M07994_2.00	chr19:43182500-43182515	ANAB5F7_basal
RXRA_M07994_2.00	chr17:81396893-81396908	ANAB5F7_basal
RXRA_M07994_2.00	chr2:84920438-84920453	ANAB5F7_basal
RXRA_M07994_2.00	chr12:124904725-124904740	98JKPD8_lumA
RXRA_M07994_2.00	chr13:18874913-18874928	2GAMBDQ_norm
RXRA_M07994_2.00	chr10:43077496-43077511	98JKPD8_lumA
RXRA_M07994_2.00	chr1:229172241-229172256	98JKPD8_lumA
RXRA_M07994_2.00	chr5:10018166-10018181	PU24GB8_lumB
RXRA_M07994_2.00	chr17:8668965-8668980	ANAB5F7_basal
RXRA_M07994_2.00	chr1:168621628-168621643	ANAB5F7_basal
RXRA_M07994_2.00	chr19:45823918-45823933	98JKPD8_lumA
