orig_index	motif_id	region_id	corr_coeff	pvalues	adj_pvalues
71	AIRE_AIRE_HUMAN.H11MO.0.C	chr16:3282261-3282279	-1.0	1.4042654220543672e-24	4.4468405031721624e-23
77	AIRE_AIRE_HUMAN.H11MO.0.C	chr17:49374914-49374932	1.0	1.4042654220543672e-24	4.4468405031721624e-23
24	AIRE_AIRE_HUMAN.H11MO.0.C	chr6:76866202-76866220	1.0	1.4042654220543672e-24	4.4468405031721624e-23
14	ALX1_ALX1_HUMAN.H11MO.0.B	chr2:225782219-225782231	1.0	1.4042654220543672e-24	6.740474025860963e-23
244	ANDR_ANDR_HUMAN.H11MO.0.A	chr14:99571643-99571661	-1.0	1.4042654220543672e-24	1.507244886338354e-22
310	ANDR_ANDR_HUMAN.H11MO.0.A	chr21:38834761-38834779	-1.0	1.4042654220543672e-24	1.507244886338354e-22
47	ANDR_ANDR_HUMAN.H11MO.0.A	chr2:210710468-210710486	1.0	1.4042654220543672e-24	1.507244886338354e-22
232	AP2A_AP2A_HUMAN.H11MO.0.A	chr10:116627637-116627652	1.0	1.4042654220543672e-24	1.1964341395903211e-22
340	AP2A_AP2A_HUMAN.H11MO.0.A	chr17:27349121-27349136	1.0	1.4042654220543672e-24	1.1964341395903211e-22
87	AP2A_AP2A_HUMAN.H11MO.0.A	chr3:194853367-194853382	-1.0	1.4042654220543672e-24	1.1964341395903211e-22
150	AP2A_AP2A_HUMAN.H11MO.0.A	chr7:5531456-5531471	-1.0	1.4042654220543672e-24	1.1964341395903211e-22
182	AP2A_AP2A_HUMAN.H11MO.0.A	chr8:101133627-101133642	1.0	1.4042654220543672e-24	1.1964341395903211e-22
214	AP2B_AP2B_HUMAN.H11MO.0.B	chr19:39540005-39540015	1.0	1.4042654220543672e-24	7.217924269359447e-23
17	AP2B_AP2B_HUMAN.H11MO.0.B	chr1:179586226-179586236	-1.0	1.4042654220543672e-24	7.217924269359447e-23
248	AP2B_AP2B_HUMAN.H11MO.0.B	chr22:43436556-43436566	1.0	1.4042654220543672e-24	7.217924269359447e-23
33	AP2B_AP2B_HUMAN.H11MO.0.B	chr2:235747933-235747943	-1.0	1.4042654220543672e-24	7.217924269359447e-23
61	AP2B_AP2B_HUMAN.H11MO.0.B	chr6:24494742-24494752	-1.0	1.4042654220543672e-24	7.217924269359447e-23
304	AP2C_AP2C_HUMAN.H11MO.0.A	chr15:92904394-92904408	-1.0	1.4042654220543672e-24	1.2217109171872994e-22
336	AP2C_AP2C_HUMAN.H11MO.0.A	chr17:50199696-50199710	1.0	1.4042654220543672e-24	1.2217109171872994e-22
24	AP2C_AP2C_HUMAN.H11MO.0.A	chr1:172422753-172422767	1.0	1.4042654220543672e-24	1.2217109171872994e-22
85	AP2C_AP2C_HUMAN.H11MO.0.A	chr3:194853368-194853382	-1.0	1.4042654220543672e-24	1.2217109171872994e-22
94	AP2C_AP2C_HUMAN.H11MO.0.A	chr4:99563378-99563392	1.0	1.4042654220543672e-24	1.2217109171872994e-22
27	ARI5B_ARI5B_HUMAN.H11MO.0.C	chr10:45111702-45111715	-1.0	1.4042654220543672e-24	7.161753652477272e-23
