motif_id	region_id	sample_id
EGR2_EGR2_HUMAN.H11MO.0.A	chr11:78574821-78574839	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr17:50866572-50866590	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:21502555-21502573	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:18636877-18636895	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:56121407-56121425	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:55654097-55654115	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:3337131-3337149	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:15154850-15154868	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:14518480-14518498	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr15:97960868-97960886	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr7:149126259-149126277	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:56121321-56121339	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr11:61429983-61430001	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:71884268-71884286	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr5:132294353-132294371	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr6:95577471-95577489	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:86798813-86798831	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr10:74827020-74827038	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:46719400-46719418	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr3:42490441-42490459	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr18:76210060-76210078	2GAMBDQ_norm
EGR2_EGR2_HUMAN.H11MO.0.A	chr12:123584562-123584580	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:16022156-16022174	S6R691V_her2
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:1324787-1324805	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr9:32526231-32526249	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr10:69408789-69408807	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:1408379-1408397	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:54488265-54488283	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr13:46894166-46894184	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr20:407948-407966	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr5:112921540-112921558	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr6:110874511-110874529	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:57372935-57372953	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr11:844055-844073	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:7294493-7294511	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:54488363-54488381	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr14:103123492-103123510	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr15:93048900-93048918	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:921836-921854	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr4:56908282-56908300	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr3:136195862-136195880	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr4:107719997-107720015	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr9:128159749-128159767	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr22:46116641-46116659	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:155910966-155910984	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr19:35067002-35067020	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr14:94174196-94174214	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr16:67246317-67246335	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr4:107719956-107719974	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:224483464-224483482	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr3:195876765-195876783	ANAB5F7_basal
EGR2_EGR2_HUMAN.H11MO.0.A	chr10:133262158-133262176	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:25820045-25820063	S6R691V_her2
EGR2_EGR2_HUMAN.H11MO.0.A	chr1:207818338-207818356	98JKPD8_lumA
EGR2_EGR2_HUMAN.H11MO.0.A	chr12:124904969-124904987	98JKPD8_lumA
