motif_id	region_id	sample_id
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr9:128128167-128128175	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr6:30717286-30717294	ANAB5F7_basal
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr1:151511740-151511748	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr13:44108526-44108534	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr14:100156820-100156828	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr16:56344696-56344704	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr8:37460622-37460630	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr15:98735384-98735392	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr10:116263080-116263088	2GAMBDQ_norm
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr8:22757863-22757871	2GAMBDQ_norm
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr2:175028599-175028607	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr1:18132902-18132910	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr1:38959816-38959824	ANAB5F7_basal
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr1:33877145-33877153	ANAB5F7_basal
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr12:112938511-112938519	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr19:45295118-45295126	ANAB5F7_basal
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr12:130646322-130646330	PU24GB8_lumB
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr5:34523287-34523295	ANAB5F7_basal
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr2:128307302-128307310	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr9:133418263-133418271	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr6:168396198-168396206	98JKPD8_lumA
SNAI1_SNAI1_HUMAN.H11MO.0.C	chr7:91759211-91759219	98JKPD8_lumA
