motif_id	region_id	sample_id
RELA_M08003_2.00	chr18:12991387-12991401	ANAB5F7_basal
RELA_M08003_2.00	chr12:108562633-108562647	98JKPD8_lumA
RELA_M08003_2.00	chr12:45728713-45728727	98JKPD8_lumA
RELA_M08003_2.00	chr3:195271306-195271320	ANAB5F7_basal
RELA_M08003_2.00	chr16:4615284-4615298	98JKPD8_lumA
RELA_M08003_2.00	chr3:24273718-24273732	PU24GB8_lumB
RELA_M08003_2.00	chr18:13217659-13217673	98JKPD8_lumA
RELA_M08003_2.00	chr16:4625278-4625292	98JKPD8_lumA
RELA_M08003_2.00	chr2:231666354-231666368	98JKPD8_lumA
RELA_M08003_2.00	chr3:109082117-109082131	ANAB5F7_basal
RELA_M08003_2.00	chr6:1725058-1725072	ANAB5F7_basal
RELA_M08003_2.00	chr8:101438027-101438041	ANAB5F7_basal
RELA_M08003_2.00	chr17:50532419-50532433	S6R691V_her2
RELA_M08003_2.00	chr16:83954704-83954718	98JKPD8_lumA
RELA_M08003_2.00	chr21:45408199-45408213	ANAB5F7_basal
RELA_M08003_2.00	chr8:1417158-1417172	2GAMBDQ_norm
RELA_M08003_2.00	chr17:44132815-44132829	2GAMBDQ_norm
RELA_M08003_2.00	chr17:81045443-81045457	98JKPD8_lumA
RELA_M08003_2.00	chr6:168016953-168016967	ANAB5F7_basal
RELA_M08003_2.00	chr5:132491184-132491198	98JKPD8_lumA
RELA_M08003_2.00	chr6:43787041-43787055	S6R691V_her2
