motif_id	region_id	sample_id
CTCF_M07883_2.00	chr9:128128163-128128180	98JKPD8_lumA
CTCF_M07883_2.00	chr19:40570830-40570847	98JKPD8_lumA
CTCF_M07883_2.00	chr8:140457730-140457747	98JKPD8_lumA
CTCF_M07883_2.00	chr12:12033515-12033532	98JKPD8_lumA
CTCF_M07883_2.00	chr6:31367037-31367054	98JKPD8_lumA
CTCF_M07883_2.00	chr5:57889838-57889855	98JKPD8_lumA
CTCF_M07883_2.00	chr4:25377136-25377153	98JKPD8_lumA
CTCF_M07883_2.00	chr3:52238926-52238943	ANAB5F7_basal
CTCF_M07883_2.00	chr1:151831280-151831297	98JKPD8_lumA
CTCF_M07883_2.00	chr10:49538796-49538813	98JKPD8_lumA
CTCF_M07883_2.00	chr7:111562431-111562448	ANAB5F7_basal
CTCF_M07883_2.00	chr11:69485654-69485671	PU24GB8_lumB
CTCF_M07883_2.00	chr5:177497000-177497017	98JKPD8_lumA
CTCF_M07883_2.00	chr9:104091923-104091940	ANAB5F7_basal
CTCF_M07883_2.00	chr22:45535370-45535387	PU24GB8_lumB
CTCF_M07883_2.00	chr12:25135889-25135906	S6R691V_her2
CTCF_M07883_2.00	chr12:26125139-26125156	98JKPD8_lumA
CTCF_M07883_2.00	chr5:107874104-107874121	98JKPD8_lumA
CTCF_M07883_2.00	chr18:58402514-58402531	2GAMBDQ_norm
CTCF_M07883_2.00	chr1:84772520-84772537	98JKPD8_lumA
CTCF_M07883_2.00	chr2:20396181-20396198	98JKPD8_lumA
CTCF_M07883_2.00	chr13:98143368-98143385	98JKPD8_lumA
CTCF_M07883_2.00	chr7:105521727-105521744	ANAB5F7_basal
CTCF_M07883_2.00	chr19:58347309-58347326	98JKPD8_lumA
CTCF_M07883_2.00	chr10:123559519-123559536	ANAB5F7_basal
CTCF_M07883_2.00	chr10:101048163-101048180	98JKPD8_lumA
CTCF_M07883_2.00	chr17:80025420-80025437	98JKPD8_lumA
CTCF_M07883_2.00	chr10:46598162-46598179	ANAB5F7_basal
CTCF_M07883_2.00	chr7:158828710-158828727	98JKPD8_lumA
CTCF_M07883_2.00	chr10:59626188-59626205	98JKPD8_lumA
CTCF_M07883_2.00	chr17:1203394-1203411	98JKPD8_lumA
CTCF_M07883_2.00	chr12:121794778-121794795	98JKPD8_lumA
