motif_id	region_id	sample_id
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr19:13151796-13151813	ANAB5F7_basal
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr19:3337157-3337174	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr15:69462865-69462882	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr18:8990705-8990722	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr19:40570830-40570847	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr7:768426-768443	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr6:95577471-95577488	ANAB5F7_basal
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr10:74827021-74827038	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr8:140457730-140457747	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr12:12033515-12033532	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr9:136949870-136949887	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr6:31367037-31367054	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr8:102791263-102791280	ANAB5F7_basal
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr5:57889838-57889855	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr20:49593170-49593187	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr1:36088827-36088844	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chrX:153599362-153599379	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr12:32106691-32106708	ANAB5F7_basal
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr3:52238926-52238943	ANAB5F7_basal
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr3:136195863-136195880	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr10:49538796-49538813	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr4:40057128-40057145	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr19:5905116-5905133	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr3:107431593-107431610	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr5:139788174-139788191	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr19:11659060-11659077	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr7:767723-767740	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr14:94174191-94174208	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr12:26125139-26125156	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr22:45535370-45535387	PU24GB8_lumB
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr5:129904529-129904546	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr1:84772520-84772537	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr18:58402514-58402531	2GAMBDQ_norm
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr10:46598162-46598179	ANAB5F7_basal
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr2:20396181-20396198	98JKPD8_lumA
CTCFL_CTCFL_HUMAN.H11MO.0.A	chr10:123559519-123559536	ANAB5F7_basal
