motif_id	region_id	sample_id
FOXA1_M08117_2.00	chr6:90744328-90744343	2GAMBDQ_norm
FOXA1_M08117_2.00	chr3:52852386-52852401	2GAMBDQ_norm
FOXA1_M08117_2.00	chr18:73942415-73942430	S6R691V_her2
FOXA1_M08117_2.00	chr5:126539288-126539303	98JKPD8_lumA
FOXA1_M08117_2.00	chr1:208205269-208205284	2GAMBDQ_norm
FOXA1_M08117_2.00	chr17:54744979-54744994	98JKPD8_lumA
FOXA1_M08117_2.00	chr8:18677000-18677015	98JKPD8_lumA
FOXA1_M08117_2.00	chr15:25839046-25839061	98JKPD8_lumA
FOXA1_M08117_2.00	chr11:13126741-13126756	98JKPD8_lumA
FOXA1_M08117_2.00	chr10:9066345-9066360	98JKPD8_lumA
FOXA1_M08117_2.00	chr1:188770065-188770080	2GAMBDQ_norm
FOXA1_M08117_2.00	chr10:74433823-74433838	98JKPD8_lumA
FOXA1_M08117_2.00	chr1:66286522-66286537	S6R691V_her2
FOXA1_M08117_2.00	chr6:48649953-48649968	98JKPD8_lumA
FOXA1_M08117_2.00	chr1:237547681-237547696	2GAMBDQ_norm
FOXA1_M08117_2.00	chr3:54643836-54643851	98JKPD8_lumA
FOXA1_M08117_2.00	chr3:11706762-11706777	S6R691V_her2
FOXA1_M08117_2.00	chr22:31130655-31130670	98JKPD8_lumA
FOXA1_M08117_2.00	chr7:50681727-50681742	ANAB5F7_basal
FOXA1_M08117_2.00	chr8:27891815-27891830	98JKPD8_lumA
FOXA1_M08117_2.00	chr12:19620299-19620314	98JKPD8_lumA
FOXA1_M08117_2.00	chr15:60327091-60327106	98JKPD8_lumA
