motif_id	region_id	sample_id
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr6:43753588-43753600	2GAMBDQ_norm
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr7:2354307-2354319	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr17:47987674-47987686	S6R691V_her2
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr3:11600779-11600791	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr8:134682995-134683007	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr9:86282167-86282179	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr7:8437155-8437167	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr10:22599013-22599025	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr11:36035168-36035180	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr1:193058859-193058871	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr12:47651795-47651807	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr9:34664487-34664499	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr5:65061749-65061761	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr6:12290494-12290506	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr3:179701384-179701396	2GAMBDQ_norm
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr6:27894141-27894153	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr2:10435067-10435079	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr20:60300276-60300288	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr7:28986472-28986484	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr6:159783285-159783297	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr4:10256426-10256438	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr1:159855173-159855185	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr9:22052725-22052737	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr18:42379150-42379162	2GAMBDQ_norm
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr12:11650487-11650499	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr1:192575619-192575631	PU24GB8_lumB
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr11:75723268-75723280	ANAB5F7_basal
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr14:64879375-64879387	98JKPD8_lumA
FEZF1_FEZF1_HUMAN.H11MO.0.C	chr8:135456556-135456568	ANAB5F7_basal
