motif_id	region_id	sample_id
MAZ_MA1522.1	chr8:142777364-142777375	ANAB5F7_basal
MAZ_MA1522.1	chr19:55599756-55599767	S6R691V_her2
MAZ_MA1522.1	chr19:56121319-56121330	98JKPD8_lumA
MAZ_MA1522.1	chr2:71130277-71130288	98JKPD8_lumA
MAZ_MA1522.1	chr18:3261870-3261881	98JKPD8_lumA
MAZ_MA1522.1	chr6:95577480-95577491	ANAB5F7_basal
MAZ_MA1522.1	chr3:155870372-155870383	ANAB5F7_basal
MAZ_MA1522.1	chr10:74827022-74827033	98JKPD8_lumA
MAZ_MA1522.1	chr3:42490441-42490452	98JKPD8_lumA
MAZ_MA1522.1	chr3:195271300-195271311	ANAB5F7_basal
MAZ_MA1522.1	chr7:22821923-22821934	ANAB5F7_basal
MAZ_MA1522.1	chr3:3179737-3179748	98JKPD8_lumA
MAZ_MA1522.1	chr1:1324778-1324789	98JKPD8_lumA
MAZ_MA1522.1	chr16:1794587-1794598	98JKPD8_lumA
MAZ_MA1522.1	chr3:136195865-136195876	98JKPD8_lumA
MAZ_MA1522.1	chr19:35067011-35067022	ANAB5F7_basal
MAZ_MA1522.1	chr3:48089395-48089406	98JKPD8_lumA
MAZ_MA1522.1	chr10:93384131-93384142	ANAB5F7_basal
MAZ_MA1522.1	chr9:136838416-136838427	S6R691V_her2
MAZ_MA1522.1	chr19:55600433-55600444	S6R691V_her2
MAZ_MA1522.1	chr1:23778337-23778348	98JKPD8_lumA
MAZ_MA1522.1	chr11:46273198-46273209	98JKPD8_lumA
MAZ_MA1522.1	chr7:63068411-63068422	S6R691V_her2
MAZ_MA1522.1	chr12:108562831-108562842	98JKPD8_lumA
MAZ_MA1522.1	chr9:38392601-38392612	ANAB5F7_basal
MAZ_MA1522.1	chr22:45535372-45535383	PU24GB8_lumB
MAZ_MA1522.1	chr12:26125141-26125152	98JKPD8_lumA
MAZ_MA1522.1	chr5:177086859-177086870	S6R691V_her2
MAZ_MA1522.1	chr10:133261690-133261701	98JKPD8_lumA
MAZ_MA1522.1	chr18:58402515-58402526	2GAMBDQ_norm
MAZ_MA1522.1	chr14:104715510-104715521	S6R691V_her2
MAZ_MA1522.1	chr5:73215995-73216006	98JKPD8_lumA
