motif_id	region_id	sample_id
E2F6_E2F6_HUMAN.H11MO.0.A	chr1:205543562-205543575	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr10:73997813-73997826	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr7:73827941-73827954	S6R691V_her2
E2F6_E2F6_HUMAN.H11MO.0.A	chr12:82358842-82358855	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr17:47987679-47987692	S6R691V_her2
E2F6_E2F6_HUMAN.H11MO.0.A	chr6:159762290-159762303	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr9:6080405-6080418	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr3:42490444-42490457	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr2:20452640-20452653	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr13:46894168-46894181	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr5:112921542-112921555	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr17:47100400-47100413	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr12:9648070-9648083	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr16:71845953-71845966	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr17:67993854-67993867	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr2:234502420-234502433	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr19:35067007-35067020	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr1:207818337-207818350	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr4:56908275-56908288	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr19:33821031-33821044	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr1:23778335-23778348	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr22:50190308-50190321	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr12:19129730-19129743	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr7:55887579-55887592	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr1:1163435-1163448	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr7:73842633-73842646	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr5:134225895-134225908	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr2:84926983-84926996	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr5:73215995-73216008	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr1:30685357-30685370	PU24GB8_lumB
E2F6_E2F6_HUMAN.H11MO.0.A	chr12:55926735-55926748	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr8:94373363-94373376	ANAB5F7_basal
E2F6_E2F6_HUMAN.H11MO.0.A	chr17:11279811-11279824	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr22:20131719-20131732	98JKPD8_lumA
E2F6_E2F6_HUMAN.H11MO.0.A	chr17:77383186-77383199	PU24GB8_lumB
