motif_id	region_id	sample_id
ETS1_ETS1_HUMAN.H11MO.0.A	chr9:136555101-136555114	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr14:49620638-49620651	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr8:143355113-143355126	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr10:110434024-110434037	S6R691V_her2
ETS1_ETS1_HUMAN.H11MO.0.A	chr19:18571682-18571695	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr5:112921542-112921555	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr19:55675106-55675119	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr7:768000-768013	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr8:70217449-70217462	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr19:15779803-15779816	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr8:118620947-118620960	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr7:64666337-64666350	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr12:55926726-55926739	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr15:74791930-74791943	S6R691V_her2
ETS1_ETS1_HUMAN.H11MO.0.A	chr4:1246659-1246672	S6R691V_her2
ETS1_ETS1_HUMAN.H11MO.0.A	chr1:181127234-181127247	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr1:2015149-2015162	2GAMBDQ_norm
ETS1_ETS1_HUMAN.H11MO.0.A	chr17:80025429-80025442	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr11:115699812-115699825	2GAMBDQ_norm
ETS1_ETS1_HUMAN.H11MO.0.A	chr1:179547142-179547155	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr15:33802263-33802276	ANAB5F7_basal
ETS1_ETS1_HUMAN.H11MO.0.A	chr1:169528813-169528826	98JKPD8_lumA
ETS1_ETS1_HUMAN.H11MO.0.A	chr6:105727188-105727201	2GAMBDQ_norm
