motif_id	region_id	sample_id
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr1:72896021-72896034	2GAMBDQ_norm
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr4:92835190-92835203	2GAMBDQ_norm
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr1:205544049-205544062	ANAB5F7_basal
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr13:23488595-23488608	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr9:136903529-136903542	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr17:54744991-54745004	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr10:22599014-22599027	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr14:84124903-84124916	2GAMBDQ_norm
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr2:46967641-46967654	ANAB5F7_basal
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr5:16542832-16542845	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr1:82226206-82226219	ANAB5F7_basal
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr1:181127344-181127357	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr17:19681228-19681241	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr1:236523041-236523054	PU24GB8_lumB
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr16:10654990-10655003	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr16:31460275-31460288	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr15:60398359-60398372	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr10:5009337-5009350	98JKPD8_lumA
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	chr6:27894142-27894155	ANAB5F7_basal
