motif_id	region_id	sample_id
SALL4_SALL4_HUMAN.H11MO.0.B	chr9:134025261-134025271	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr19:3337164-3337174	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr18:8990701-8990711	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr3:32106420-32106430	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr15:97960869-97960879	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr2:36598179-36598189	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr16:86798814-86798824	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr9:128218858-128218868	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr16:16022163-16022173	S6R691V_her2
SALL4_SALL4_HUMAN.H11MO.0.B	chr4:56908283-56908293	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr1:156892493-156892503	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr1:54488370-54488380	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr7:73822384-73822394	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr9:128159750-128159760	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr3:195876777-195876787	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr1:207316613-207316623	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr16:85472318-85472328	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr6:20404182-20404192	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr19:48589288-48589298	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr6:42118273-42118283	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr8:38466891-38466901	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr1:107686027-107686037	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr17:81239504-81239514	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr17:50845850-50845860	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr3:184345999-184346009	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr5:34673958-34673968	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr5:178113787-178113797	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr1:18132908-18132918	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr4:76641381-76641391	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr17:47884455-47884465	2GAMBDQ_norm
SALL4_SALL4_HUMAN.H11MO.0.B	chr8:4951755-4951765	2GAMBDQ_norm
SALL4_SALL4_HUMAN.H11MO.0.B	chr17:77383187-77383197	PU24GB8_lumB
SALL4_SALL4_HUMAN.H11MO.0.B	chr16:68737639-68737649	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr13:114015768-114015778	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr14:103141015-103141025	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr9:126914607-126914617	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr7:54186545-54186555	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr19:43777321-43777331	ANAB5F7_basal
SALL4_SALL4_HUMAN.H11MO.0.B	chr6:75243500-75243510	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr14:32934635-32934645	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr17:1180066-1180076	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr16:56607689-56607699	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr16:10088484-10088494	2GAMBDQ_norm
SALL4_SALL4_HUMAN.H11MO.0.B	chr13:36996043-36996053	2GAMBDQ_norm
SALL4_SALL4_HUMAN.H11MO.0.B	chr16:2830606-2830616	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr19:918404-918414	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr1:16913361-16913371	98JKPD8_lumA
SALL4_SALL4_HUMAN.H11MO.0.B	chr11:14499573-14499583	98JKPD8_lumA
