motif_id	region_id	sample_id
TP73_M08035_2.00	chr16:2148153-2148168	98JKPD8_lumA
TP73_M08035_2.00	chr3:11272351-11272366	98JKPD8_lumA
TP73_M08035_2.00	chr1:109393144-109393159	98JKPD8_lumA
TP73_M08035_2.00	chr18:79750999-79751014	PU24GB8_lumB
TP73_M08035_2.00	chr16:20741155-20741170	98JKPD8_lumA
TP73_M08035_2.00	chr1:9115137-9115152	ANAB5F7_basal
TP73_M08035_2.00	chr15:40866318-40866333	98JKPD8_lumA
TP73_M08035_2.00	chr5:71883283-71883298	PU24GB8_lumB
TP73_M08035_2.00	chr14:35046999-35047014	98JKPD8_lumA
TP73_M08035_2.00	chr20:64229665-64229680	98JKPD8_lumA
TP73_M08035_2.00	chr19:4716396-4716411	98JKPD8_lumA
TP73_M08035_2.00	chr8:40517966-40517981	98JKPD8_lumA
TP73_M08035_2.00	chr6:14744099-14744114	98JKPD8_lumA
TP73_M08035_2.00	chr19:3984768-3984783	98JKPD8_lumA
TP73_M08035_2.00	chr3:105882768-105882783	ANAB5F7_basal
TP73_M08035_2.00	chr19:45295108-45295123	ANAB5F7_basal
TP73_M08035_2.00	chr2:227848534-227848549	ANAB5F7_basal
TP73_M08035_2.00	chr5:54518209-54518224	98JKPD8_lumA
TP73_M08035_2.00	chr3:5000171-5000186	98JKPD8_lumA
