motif_id	region_id	sample_id
NR3C1_M07987_2.00	chr17:369755-369776	98JKPD8_lumA
NR3C1_M07987_2.00	chr10:80688766-80688787	98JKPD8_lumA
NR3C1_M07987_2.00	chr6:161435086-161435107	ANAB5F7_basal
NR3C1_M07987_2.00	chr1:966210-966231	98JKPD8_lumA
NR3C1_M07987_2.00	chr2:182716597-182716618	ANAB5F7_basal
NR3C1_M07987_2.00	chr9:89757208-89757229	98JKPD8_lumA
NR3C1_M07987_2.00	chr1:117590361-117590382	S6R691V_her2
NR3C1_M07987_2.00	chr1:66930522-66930543	98JKPD8_lumA
NR3C1_M07987_2.00	chr1:119542865-119542886	S6R691V_her2
NR3C1_M07987_2.00	chr10:118769317-118769338	98JKPD8_lumA
NR3C1_M07987_2.00	chr8:104325623-104325644	ANAB5F7_basal
NR3C1_M07987_2.00	chr3:194091288-194091309	S6R691V_her2
NR3C1_M07987_2.00	chr15:100526342-100526363	98JKPD8_lumA
NR3C1_M07987_2.00	chr1:109274607-109274628	98JKPD8_lumA
NR3C1_M07987_2.00	chr11:3124504-3124525	98JKPD8_lumA
NR3C1_M07987_2.00	chr3:21802375-21802396	2GAMBDQ_norm
NR3C1_M07987_2.00	chr2:224485686-224485707	98JKPD8_lumA
NR3C1_M07987_2.00	chr6:43787039-43787060	S6R691V_her2
NR3C1_M07987_2.00	chr8:67795109-67795130	PU24GB8_lumB
NR3C1_M07987_2.00	chr15:80419165-80419186	98JKPD8_lumA
NR3C1_M07987_2.00	chr10:128929994-128930015	ANAB5F7_basal
NR3C1_M07987_2.00	chr3:30402161-30402182	S6R691V_her2
NR3C1_M07987_2.00	chr22:45834057-45834078	98JKPD8_lumA
