motif_id	region_id	sample_id
FOXP2_M08116_2.00	chr6:43753588-43753599	2GAMBDQ_norm
FOXP2_M08116_2.00	chr1:200296485-200296496	98JKPD8_lumA
FOXP2_M08116_2.00	chr8:18677002-18677013	98JKPD8_lumA
FOXP2_M08116_2.00	chr15:25839048-25839059	98JKPD8_lumA
FOXP2_M08116_2.00	chr1:245995186-245995197	98JKPD8_lumA
FOXP2_M08116_2.00	chr12:45695223-45695234	S6R691V_her2
FOXP2_M08116_2.00	chr3:54643838-54643849	98JKPD8_lumA
FOXP2_M08116_2.00	chr7:113870902-113870913	98JKPD8_lumA
FOXP2_M08116_2.00	chr11:75723268-75723279	ANAB5F7_basal
FOXP2_M08116_2.00	chr5:173707021-173707032	98JKPD8_lumA
FOXP2_M08116_2.00	chr2:109644132-109644143	98JKPD8_lumA
FOXP2_M08116_2.00	chr4:144748747-144748758	2GAMBDQ_norm
FOXP2_M08116_2.00	chr10:13116253-13116264	ANAB5F7_basal
