motif_id	region_id	sample_id
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr13:99041852-99041863	2GAMBDQ_norm
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr4:1347098-1347109	PU24GB8_lumB
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr20:45783920-45783931	ANAB5F7_basal
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr6:161435098-161435109	ANAB5F7_basal
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr16:86798814-86798825	ANAB5F7_basal
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr11:18527024-18527035	2GAMBDQ_norm
SRBP1_SRBP1_HUMAN.H11MO.0.A	chrX:23667295-23667306	PU24GB8_lumB
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr13:112931575-112931586	98JKPD8_lumA
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr17:13018326-13018337	ANAB5F7_basal
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr17:68735106-68735117	ANAB5F7_basal
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr8:38466886-38466897	98JKPD8_lumA
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr20:45407802-45407813	98JKPD8_lumA
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr9:137307740-137307751	2GAMBDQ_norm
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr1:206581909-206581920	ANAB5F7_basal
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr6:106373338-106373349	ANAB5F7_basal
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr6:119201579-119201590	98JKPD8_lumA
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr19:7102721-7102732	2GAMBDQ_norm
SRBP1_SRBP1_HUMAN.H11MO.0.A	chrX:23783475-23783486	98JKPD8_lumA
SRBP1_SRBP1_HUMAN.H11MO.0.A	chrX:102156021-102156032	98JKPD8_lumA
SRBP1_SRBP1_HUMAN.H11MO.0.A	chr1:236394467-236394478	S6R691V_her2
