motif_id	region_id	sample_id
MAFF_M07839_2.00	chr19:8832661-8832676	ANAB5F7_basal
MAFF_M07839_2.00	chr2:30756212-30756227	S6R691V_her2
MAFF_M07839_2.00	chr19:45824282-45824297	98JKPD8_lumA
MAFF_M07839_2.00	chr9:33290528-33290543	98JKPD8_lumA
MAFF_M07839_2.00	chr2:18210280-18210295	98JKPD8_lumA
MAFF_M07839_2.00	chr8:40529449-40529464	PU24GB8_lumB
MAFF_M07839_2.00	chr11:11218916-11218931	98JKPD8_lumA
MAFF_M07839_2.00	chr2:9812609-9812624	2GAMBDQ_norm
MAFF_M07839_2.00	chr20:49277712-49277727	98JKPD8_lumA
MAFF_M07839_2.00	chr7:131061926-131061941	98JKPD8_lumA
MAFF_M07839_2.00	chr3:32045746-32045761	S6R691V_her2
MAFF_M07839_2.00	chr16:8679080-8679095	98JKPD8_lumA
MAFF_M07839_2.00	chr6:46115829-46115844	98JKPD8_lumA
MAFF_M07839_2.00	chr20:826228-826243	S6R691V_her2
MAFF_M07839_2.00	chr15:80156121-80156136	S6R691V_her2
MAFF_M07839_2.00	chr2:168119653-168119668	98JKPD8_lumA
MAFF_M07839_2.00	chr10:46250693-46250708	98JKPD8_lumA
MAFF_M07839_2.00	chr9:32552162-32552177	ANAB5F7_basal
MAFF_M07839_2.00	chr3:11706760-11706775	S6R691V_her2
