motif_id	region_id	sample_id
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr5:179818955-179818967	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr12:121812708-121812720	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr11:114307664-114307676	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr20:45362924-45362936	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr19:21787523-21787535	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr1:109299130-109299142	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr6:30820411-30820423	ANAB5F7_basal
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr2:219387561-219387573	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr6:144286161-144286173	ANAB5F7_basal
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr18:56704618-56704630	2GAMBDQ_norm
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr1:38959807-38959819	ANAB5F7_basal
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr6:106545709-106545721	S6R691V_her2
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr19:29694787-29694799	ANAB5F7_basal
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr9:76621247-76621259	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr2:160994583-160994595	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr15:88648470-88648482	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr20:59084061-59084073	ANAB5F7_basal
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr14:55547161-55547173	S6R691V_her2
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr6:3453610-3453622	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr2:201452531-201452543	98JKPD8_lumA
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr17:59627446-59627458	S6R691V_her2
SMAD2_SMAD2_HUMAN.H11MO.0.A	chr11:2901371-2901383	98JKPD8_lumA
