motif_id	region_id	sample_id
THAP1_THAP1_HUMAN.H11MO.0.C	chr17:50866553-50866575	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr22:50276290-50276312	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr17:68101581-68101603	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:21502551-21502573	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr19:56121410-56121432	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:53503254-53503276	S6R691V_her2
THAP1_THAP1_HUMAN.H11MO.0.C	chr17:80900866-80900888	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr3:155870371-155870393	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr19:14518480-14518502	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr12:132908457-132908479	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:1794207-1794229	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr11:61429983-61430005	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr6:41941776-41941798	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr2:130798155-130798177	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr5:132294069-132294091	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr6:95577471-95577493	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr4:39527510-39527532	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr5:10249668-10249690	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr9:128067276-128067298	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr14:35046379-35046401	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr3:134486387-134486409	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr12:131929158-131929180	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr4:1721363-1721385	PU24GB8_lumB
THAP1_THAP1_HUMAN.H11MO.0.C	chr2:219388092-219388114	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr7:55019081-55019103	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:3003906-3003928	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr3:195271291-195271313	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:1408375-1408397	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr18:56651255-56651277	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr12:32106701-32106723	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr10:74176836-74176858	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr10:38403111-38403133	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr2:113283241-113283263	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr3:52238919-52238941	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr20:49593166-49593188	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr20:25407545-25407567	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr5:179622888-179622910	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr5:112921543-112921565	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr20:3159653-3159675	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:1793663-1793685	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr9:136866364-136866386	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr1:207818334-207818356	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr19:7294492-7294514	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr1:54488362-54488384	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr10:38403086-38403108	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr10:69408792-69408814	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr3:136195856-136195878	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr9:32526225-32526247	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr2:131491792-131491814	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr14:49634636-49634658	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr9:131531312-131531334	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr13:48533093-48533115	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:88245925-88245947	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr2:138501651-138501673	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr12:124904969-124904991	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr8:102791254-102791276	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr4:107719962-107719984	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr2:44169088-44169110	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr10:133262151-133262173	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr12:19130181-19130203	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr8:11466511-11466533	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr7:149066-149088	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr7:98879113-98879135	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr3:115196003-115196025	S6R691V_her2
THAP1_THAP1_HUMAN.H11MO.0.C	chr5:60844240-60844262	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr4:114598674-114598696	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr1:111204064-111204086	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr19:55600424-55600446	S6R691V_her2
THAP1_THAP1_HUMAN.H11MO.0.C	chr1:166167018-166167040	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr5:139788166-139788188	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr11:46273200-46273222	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr19:10644228-10644250	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr9:120580310-120580332	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr19:17282685-17282707	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr1:200891066-200891088	ANAB5F7_basal
THAP1_THAP1_HUMAN.H11MO.0.C	chr7:156892849-156892871	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr16:31459213-31459235	98JKPD8_lumA
THAP1_THAP1_HUMAN.H11MO.0.C	chr14:53153258-53153280	PU24GB8_lumB
