motif_id	region_id	sample_id
BATF_BATF_HUMAN.H11MO.0.A	chr1:151828971-151828989	ANAB5F7_basal
BATF_BATF_HUMAN.H11MO.0.A	chr1:212234902-212234920	ANAB5F7_basal
BATF_BATF_HUMAN.H11MO.0.A	chr8:58234615-58234633	ANAB5F7_basal
BATF_BATF_HUMAN.H11MO.0.A	chr12:52186277-52186295	ANAB5F7_basal
BATF_BATF_HUMAN.H11MO.0.A	chr7:36295169-36295187	98JKPD8_lumA
BATF_BATF_HUMAN.H11MO.0.A	chr7:129742112-129742130	98JKPD8_lumA
BATF_BATF_HUMAN.H11MO.0.A	chr8:138474197-138474215	PU24GB8_lumB
BATF_BATF_HUMAN.H11MO.0.A	chr11:3477960-3477978	98JKPD8_lumA
BATF_BATF_HUMAN.H11MO.0.A	chr16:50152557-50152575	S6R691V_her2
BATF_BATF_HUMAN.H11MO.0.A	chr10:70290890-70290908	2GAMBDQ_norm
BATF_BATF_HUMAN.H11MO.0.A	chr1:195568333-195568351	98JKPD8_lumA
BATF_BATF_HUMAN.H11MO.0.A	chr3:194618057-194618075	S6R691V_her2
BATF_BATF_HUMAN.H11MO.0.A	chr3:355857-355875	S6R691V_her2
BATF_BATF_HUMAN.H11MO.0.A	chr6:155202020-155202038	2GAMBDQ_norm
BATF_BATF_HUMAN.H11MO.0.A	chr6:47298959-47298977	S6R691V_her2
BATF_BATF_HUMAN.H11MO.0.A	chr17:43897867-43897885	PU24GB8_lumB
BATF_BATF_HUMAN.H11MO.0.A	chr3:112407025-112407043	2GAMBDQ_norm
BATF_BATF_HUMAN.H11MO.0.A	chr3:172722473-172722491	S6R691V_her2
BATF_BATF_HUMAN.H11MO.0.A	chr19:47233081-47233099	PU24GB8_lumB
BATF_BATF_HUMAN.H11MO.0.A	chr6:32685933-32685951	ANAB5F7_basal
BATF_BATF_HUMAN.H11MO.0.A	chrX:97162032-97162050	2GAMBDQ_norm
