motif_id	region_id	sample_id
STAT2_STAT2_HUMAN.H11MO.0.A	chr7:80238153-80238172	S6R691V_her2
STAT2_STAT2_HUMAN.H11MO.0.A	chr1:160463076-160463095	2GAMBDQ_norm
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:31272231-31272250	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr1:151828977-151828996	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr10:80664402-80664421	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr13:28035257-28035276	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr9:136903530-136903549	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr10:98960734-98960753	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr21:16420335-16420354	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr1:40911194-40911213	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr5:54659698-54659717	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:47924364-47924383	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:36035174-36035193	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr7:131061225-131061244	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr19:40190604-40190623	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr8:58234621-58234640	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr4:107720136-107720155	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr1:147541094-147541113	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr5:40835461-40835480	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:1725040-1725059	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr14:84124899-84124918	2GAMBDQ_norm
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:96246942-96246961	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:87000445-87000464	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr16:74607364-74607383	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr10:6298371-6298390	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:4313487-4313506	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:175770875-175770894	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:159783276-159783295	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:2191348-2191367	S6R691V_her2
STAT2_STAT2_HUMAN.H11MO.0.A	chr15:60398361-60398380	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr20:11767077-11767096	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr16:25045234-25045253	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:27894144-27894163	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr16:50147347-50147366	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr7:36295181-36295200	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr8:94934148-94934167	PU24GB8_lumB
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:152975389-152975408	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:215311583-215311602	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr18:12419763-12419782	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr1:161530558-161530577	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr8:80010736-80010755	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:86622890-86622909	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:114167225-114167244	2GAMBDQ_norm
STAT2_STAT2_HUMAN.H11MO.0.A	chr8:117972172-117972191	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr16:50025571-50025590	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr3:194773756-194773775	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr1:115764776-115764795	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:227848510-227848529	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr22:33806295-33806314	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr4:16043999-16044018	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:160629274-160629293	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:150667763-150667782	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr17:80911874-80911893	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr6:133996590-133996609	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr10:59709764-59709783	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr19:23824354-23824373	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr8:18562916-18562935	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr15:92820193-92820212	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr10:84306729-84306748	2GAMBDQ_norm
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:102279699-102279718	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr22:30045836-30045855	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr8:26409932-26409951	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:75723265-75723284	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:35237642-35237661	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr19:13637150-13637169	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr14:23183496-23183515	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr12:11650483-11650502	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr7:83648903-83648922	S6R691V_her2
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:86227563-86227582	2GAMBDQ_norm
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:36988255-36988274	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr4:153166785-153166804	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr22:43113610-43113629	S6R691V_her2
STAT2_STAT2_HUMAN.H11MO.0.A	chr7:73834154-73834173	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:32365320-32365339	PU24GB8_lumB
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:62856816-62856835	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr16:11359205-11359224	S6R691V_her2
STAT2_STAT2_HUMAN.H11MO.0.A	chr11:78564876-78564895	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr10:38010197-38010216	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr3:188526288-188526307	PU24GB8_lumB
STAT2_STAT2_HUMAN.H11MO.0.A	chr3:64266943-64266962	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:109644137-109644156	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr15:90152081-90152100	ANAB5F7_basal
STAT2_STAT2_HUMAN.H11MO.0.A	chr17:44900284-44900303	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chrX:40225027-40225046	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr19:47233069-47233088	PU24GB8_lumB
STAT2_STAT2_HUMAN.H11MO.0.A	chr2:141508642-141508661	98JKPD8_lumA
STAT2_STAT2_HUMAN.H11MO.0.A	chr9:69386738-69386757	98JKPD8_lumA
