motif_id	region_id	sample_id
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr16:56632528-56632546	2GAMBDQ_norm
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr15:98799351-98799369	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr18:47749263-47749281	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr7:105317297-105317315	S6R691V_her2
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr4:101191877-101191895	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr9:128829551-128829569	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr3:58470984-58471002	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr17:8248913-8248931	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr9:93115781-93115799	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr2:95298212-95298230	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr11:20035820-20035838	2GAMBDQ_norm
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr15:63349287-63349305	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr2:84939904-84939922	ANAB5F7_basal
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr3:152211630-152211648	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr11:8828666-8828684	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr3:10601204-10601222	2GAMBDQ_norm
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr5:11855334-11855352	S6R691V_her2
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr6:3453603-3453621	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr14:100049436-100049454	98JKPD8_lumA
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr10:131650257-131650275	S6R691V_her2
NR1I3_NR1I3_HUMAN.H11MO.0.C	chr13:43880305-43880323	98JKPD8_lumA
