motif_id	region_id	sample_id
REST_REST_HUMAN.H11MO.0.A	chr9:33290513-33290535	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr18:8990800-8990822	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr20:45881107-45881129	PU24GB8_lumB
REST_REST_HUMAN.H11MO.0.A	chr12:8032580-8032602	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr19:49118686-49118708	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr8:19415248-19415270	ANAB5F7_basal
REST_REST_HUMAN.H11MO.0.A	chr2:227325342-227325364	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr14:24430994-24431016	S6R691V_her2
REST_REST_HUMAN.H11MO.0.A	chr3:127304361-127304383	S6R691V_her2
REST_REST_HUMAN.H11MO.0.A	chr10:103908410-103908432	ANAB5F7_basal
REST_REST_HUMAN.H11MO.0.A	chr5:65926360-65926382	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr14:50396990-50397012	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr1:200891066-200891088	ANAB5F7_basal
REST_REST_HUMAN.H11MO.0.A	chr17:80169440-80169462	PU24GB8_lumB
REST_REST_HUMAN.H11MO.0.A	chr11:19420165-19420187	PU24GB8_lumB
REST_REST_HUMAN.H11MO.0.A	chr3:8963385-8963407	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr4:101191885-101191907	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr14:51652379-51652401	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr19:15779804-15779826	ANAB5F7_basal
REST_REST_HUMAN.H11MO.0.A	chr12:76031148-76031170	ANAB5F7_basal
REST_REST_HUMAN.H11MO.0.A	chr1:2015151-2015173	2GAMBDQ_norm
REST_REST_HUMAN.H11MO.0.A	chr2:157290803-157290825	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr9:89844254-89844276	2GAMBDQ_norm
REST_REST_HUMAN.H11MO.0.A	chr17:78308370-78308392	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr12:101891890-101891912	S6R691V_her2
REST_REST_HUMAN.H11MO.0.A	chr19:43827542-43827564	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr20:43188847-43188869	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr19:1400762-1400784	98JKPD8_lumA
REST_REST_HUMAN.H11MO.0.A	chr6:105727192-105727214	2GAMBDQ_norm
REST_REST_HUMAN.H11MO.0.A	chr7:16814254-16814276	98JKPD8_lumA
