motif_id	region_id	sample_id
USF2_USF2_HUMAN.H11MO.0.A	chr4:9152682-9152701	S6R691V_her2
USF2_USF2_HUMAN.H11MO.0.A	chr1:26432107-26432126	ANAB5F7_basal
USF2_USF2_HUMAN.H11MO.0.A	chr7:47951935-47951954	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr5:132294069-132294088	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr2:45650223-45650242	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr19:3374831-3374850	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr4:17614582-17614601	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr7:131061406-131061425	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr16:56344693-56344712	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr19:43182505-43182524	ANAB5F7_basal
USF2_USF2_HUMAN.H11MO.0.A	chr10:132408713-132408732	98JKPD8_lumA
USF2_USF2_HUMAN.H11MO.0.A	chr17:68735104-68735123	ANAB5F7_basal
USF2_USF2_HUMAN.H11MO.0.A	chr2:10014109-10014128	ANAB5F7_basal
USF2_USF2_HUMAN.H11MO.0.A	chr4:186144984-186145003	ANAB5F7_basal
USF2_USF2_HUMAN.H11MO.0.A	chr1:225834263-225834282	ANAB5F7_basal
