motif_id	region_id	sample_id
NRF1_NRF1_HUMAN.H11MO.0.A	chr6:152983574-152983591	ANAB5F7_basal
NRF1_NRF1_HUMAN.H11MO.0.A	chr4:17577186-17577203	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr19:10654228-10654245	ANAB5F7_basal
NRF1_NRF1_HUMAN.H11MO.0.A	chr2:44167946-44167963	ANAB5F7_basal
NRF1_NRF1_HUMAN.H11MO.0.A	chr6:41941781-41941798	ANAB5F7_basal
NRF1_NRF1_HUMAN.H11MO.0.A	chr19:45824283-45824300	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr20:62143362-62143379	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr7:767731-767748	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr14:39114273-39114290	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr8:63039414-63039431	ANAB5F7_basal
NRF1_NRF1_HUMAN.H11MO.0.A	chr8:2127752-2127769	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr9:122264835-122264852	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr17:39057038-39057055	S6R691V_her2
NRF1_NRF1_HUMAN.H11MO.0.A	chr4:39527348-39527365	98JKPD8_lumA
NRF1_NRF1_HUMAN.H11MO.0.A	chr12:53216837-53216854	98JKPD8_lumA
