motif_id	region_id	sample_id
ZFP42_MA1651.1	chr6:159790505-159790526	ANAB5F7_basal
ZFP42_MA1651.1	chr19:21787514-21787535	98JKPD8_lumA
ZFP42_MA1651.1	chr2:30756037-30756058	S6R691V_her2
ZFP42_MA1651.1	chr17:14098460-14098481	ANAB5F7_basal
ZFP42_MA1651.1	chr3:9400045-9400066	S6R691V_her2
ZFP42_MA1651.1	chr2:76314753-76314774	2GAMBDQ_norm
ZFP42_MA1651.1	chr3:194091274-194091295	S6R691V_her2
ZFP42_MA1651.1	chr4:120948661-120948682	ANAB5F7_basal
ZFP42_MA1651.1	chr3:75341466-75341487	ANAB5F7_basal
ZFP42_MA1651.1	chr22:23849893-23849914	ANAB5F7_basal
ZFP42_MA1651.1	chr12:131912675-131912696	2GAMBDQ_norm
ZFP42_MA1651.1	chr20:24991097-24991118	S6R691V_her2
ZFP42_MA1651.1	chr3:64344598-64344619	98JKPD8_lumA
ZFP42_MA1651.1	chr4:119042178-119042199	98JKPD8_lumA
ZFP42_MA1651.1	chr2:101481186-101481207	98JKPD8_lumA
ZFP42_MA1651.1	chr1:36207746-36207767	98JKPD8_lumA
ZFP42_MA1651.1	chr6:33428525-33428546	98JKPD8_lumA
