motif_id	region_id	sample_id
ESR1_M08217_2.00	chr17:80900868-80900886	ANAB5F7_basal
ESR1_M08217_2.00	chr17:67825364-67825382	S6R691V_her2
ESR1_M08217_2.00	chr9:133210388-133210406	ANAB5F7_basal
ESR1_M08217_2.00	chr19:40921633-40921651	PU24GB8_lumB
ESR1_M08217_2.00	chr9:89757209-89757227	98JKPD8_lumA
ESR1_M08217_2.00	chr9:136555684-136555702	ANAB5F7_basal
ESR1_M08217_2.00	chr20:49288955-49288973	98JKPD8_lumA
ESR1_M08217_2.00	chr3:195270485-195270503	ANAB5F7_basal
ESR1_M08217_2.00	chr17:75114180-75114198	ANAB5F7_basal
ESR1_M08217_2.00	chr9:131421211-131421229	S6R691V_her2
ESR1_M08217_2.00	chr10:78302219-78302237	98JKPD8_lumA
ESR1_M08217_2.00	chr12:10365405-10365423	ANAB5F7_basal
ESR1_M08217_2.00	chr16:8797340-8797358	ANAB5F7_basal
ESR1_M08217_2.00	chr16:81315804-81315822	ANAB5F7_basal
ESR1_M08217_2.00	chr11:47924019-47924037	98JKPD8_lumA
ESR1_M08217_2.00	chr9:114279004-114279022	ANAB5F7_basal
ESR1_M08217_2.00	chr8:51358493-51358511	ANAB5F7_basal
ESR1_M08217_2.00	chr17:63773024-63773042	98JKPD8_lumA
ESR1_M08217_2.00	chr11:76209382-76209400	ANAB5F7_basal
