motif_id	region_id	sample_id
TCF3_MA0522.3	chr16:15154837-15154848	98JKPD8_lumA
TCF3_MA0522.3	chr9:132355263-132355274	PU24GB8_lumB
TCF3_MA0522.3	chr22:46116642-46116653	98JKPD8_lumA
TCF3_MA0522.3	chr1:111045718-111045729	98JKPD8_lumA
TCF3_MA0522.3	chr1:43935710-43935721	98JKPD8_lumA
TCF3_MA0522.3	chr10:43420577-43420588	PU24GB8_lumB
TCF3_MA0522.3	chr5:1594545-1594556	98JKPD8_lumA
TCF3_MA0522.3	chr8:22757862-22757873	2GAMBDQ_norm
TCF3_MA0522.3	chr9:96218272-96218283	ANAB5F7_basal
TCF3_MA0522.3	chr1:18132900-18132911	98JKPD8_lumA
TCF3_MA0522.3	chr17:50845857-50845868	98JKPD8_lumA
TCF3_MA0522.3	chr12:112938510-112938521	98JKPD8_lumA
TCF3_MA0522.3	chr1:30685365-30685376	PU24GB8_lumB
TCF3_MA0522.3	chr1:205680189-205680200	98JKPD8_lumA
TCF3_MA0522.3	chr12:130646321-130646332	PU24GB8_lumB
TCF3_MA0522.3	chr2:128307301-128307312	98JKPD8_lumA
