motif_id	region_id	sample_id
MAFF_MAFF_HUMAN.H11MO.0.B	chr6:161435097-161435115	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr7:149127608-149127626	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr8:20203328-20203346	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr11:11218918-11218936	98JKPD8_lumA
MAFF_MAFF_HUMAN.H11MO.0.B	chr3:143210545-143210563	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr2:235542991-235543009	S6R691V_her2
MAFF_MAFF_HUMAN.H11MO.0.B	chr3:32045746-32045764	S6R691V_her2
MAFF_MAFF_HUMAN.H11MO.0.B	chr19:5909994-5910012	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr3:186827124-186827142	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr17:80911882-80911900	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr17:601918-601936	98JKPD8_lumA
MAFF_MAFF_HUMAN.H11MO.0.B	chr8:95038708-95038726	PU24GB8_lumB
MAFF_MAFF_HUMAN.H11MO.0.B	chr2:25010183-25010201	98JKPD8_lumA
MAFF_MAFF_HUMAN.H11MO.0.B	chr16:8679080-8679098	98JKPD8_lumA
MAFF_MAFF_HUMAN.H11MO.0.B	chr6:150409838-150409856	S6R691V_her2
MAFF_MAFF_HUMAN.H11MO.0.B	chr2:109702791-109702809	2GAMBDQ_norm
MAFF_MAFF_HUMAN.H11MO.0.B	chr8:105278404-105278422	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr6:6662040-6662058	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr18:59685536-59685554	98JKPD8_lumA
MAFF_MAFF_HUMAN.H11MO.0.B	chr4:37456245-37456263	2GAMBDQ_norm
MAFF_MAFF_HUMAN.H11MO.0.B	chr7:2729221-2729239	ANAB5F7_basal
MAFF_MAFF_HUMAN.H11MO.0.B	chr3:11706755-11706773	S6R691V_her2
MAFF_MAFF_HUMAN.H11MO.0.B	chr10:46250693-46250711	98JKPD8_lumA
MAFF_MAFF_HUMAN.H11MO.0.B	chr11:2911834-2911852	S6R691V_her2
