motif_id	region_id	sample_id
ZSCAN5C_M08390_2.00	chr2:44168359-44168374	ANAB5F7_basal
ZSCAN5C_M08390_2.00	chr4:44678333-44678348	98JKPD8_lumA
ZSCAN5C_M08390_2.00	chr10:48012026-48012041	98JKPD8_lumA
ZSCAN5C_M08390_2.00	chr5:36301310-36301325	98JKPD8_lumA
ZSCAN5C_M08390_2.00	chr17:66275857-66275872	S6R691V_her2
ZSCAN5C_M08390_2.00	chr1:158029159-158029174	2GAMBDQ_norm
ZSCAN5C_M08390_2.00	chr6:18691847-18691862	ANAB5F7_basal
ZSCAN5C_M08390_2.00	chr19:15779569-15779584	ANAB5F7_basal
ZSCAN5C_M08390_2.00	chr3:11706762-11706777	S6R691V_her2
ZSCAN5C_M08390_2.00	chr11:132957663-132957678	2GAMBDQ_norm
