motif_id	region_id	sample_id
EHF_EHF_HUMAN.H11MO.0.B	chr14:49620637-49620652	98JKPD8_lumA
EHF_EHF_HUMAN.H11MO.0.B	chr10:110434023-110434038	S6R691V_her2
EHF_EHF_HUMAN.H11MO.0.B	chr19:18571681-18571696	ANAB5F7_basal
EHF_EHF_HUMAN.H11MO.0.B	chr10:44975606-44975621	ANAB5F7_basal
EHF_EHF_HUMAN.H11MO.0.B	chr6:2841893-2841908	PU24GB8_lumB
EHF_EHF_HUMAN.H11MO.0.B	chr11:35236028-35236043	98JKPD8_lumA
EHF_EHF_HUMAN.H11MO.0.B	chr8:70217448-70217463	ANAB5F7_basal
EHF_EHF_HUMAN.H11MO.0.B	chr8:139582176-139582191	ANAB5F7_basal
EHF_EHF_HUMAN.H11MO.0.B	chr15:74791929-74791944	S6R691V_her2
EHF_EHF_HUMAN.H11MO.0.B	chr11:39542225-39542240	S6R691V_her2
EHF_EHF_HUMAN.H11MO.0.B	chr3:129162023-129162038	98JKPD8_lumA
EHF_EHF_HUMAN.H11MO.0.B	chr6:7975401-7975416	ANAB5F7_basal
EHF_EHF_HUMAN.H11MO.0.B	chr3:152211632-152211647	98JKPD8_lumA
