motif_id	region_id	sample_id
ELF3_MA0640.2	chr9:136555099-136555113	ANAB5F7_basal
ELF3_MA0640.2	chr1:204149219-204149233	S6R691V_her2
ELF3_MA0640.2	chr10:110434025-110434039	S6R691V_her2
ELF3_MA0640.2	chr10:44975608-44975622	ANAB5F7_basal
ELF3_MA0640.2	chr17:7558144-7558158	98JKPD8_lumA
ELF3_MA0640.2	chr6:106547210-106547224	S6R691V_her2
ELF3_MA0640.2	chr11:63848088-63848102	ANAB5F7_basal
ELF3_MA0640.2	chr8:70217447-70217461	ANAB5F7_basal
ELF3_MA0640.2	chr12:55926727-55926741	ANAB5F7_basal
ELF3_MA0640.2	chr22:42074572-42074586	ANAB5F7_basal
ELF3_MA0640.2	chr15:74791928-74791942	S6R691V_her2
ELF3_MA0640.2	chr11:39542224-39542238	S6R691V_her2
ELF3_MA0640.2	chr4:1246660-1246674	S6R691V_her2
ELF3_MA0640.2	chr16:65960672-65960686	S6R691V_her2
ELF3_MA0640.2	chr19:16489131-16489145	98JKPD8_lumA
ELF3_MA0640.2	chr1:169528814-169528828	98JKPD8_lumA
ELF3_MA0640.2	chr16:56607686-56607700	98JKPD8_lumA
ELF3_MA0640.2	chr12:112907449-112907463	98JKPD8_lumA
ELF3_MA0640.2	chr3:152211634-152211648	98JKPD8_lumA
ELF3_MA0640.2	chr11:12248337-12248351	98JKPD8_lumA
