motif_id	region_id	sample_id
MYNN_M08283_2.00	chr3:190778637-190778649	2GAMBDQ_norm
MYNN_M08283_2.00	chr17:13268866-13268878	2GAMBDQ_norm
MYNN_M08283_2.00	chr6:43753579-43753591	2GAMBDQ_norm
MYNN_M08283_2.00	chr12:62265855-62265867	ANAB5F7_basal
MYNN_M08283_2.00	chr4:99235497-99235509	ANAB5F7_basal
MYNN_M08283_2.00	chr12:30488803-30488815	ANAB5F7_basal
MYNN_M08283_2.00	chrY:10105742-10105754	2GAMBDQ_norm
MYNN_M08283_2.00	chrY:12227886-12227898	2GAMBDQ_norm
MYNN_M08283_2.00	chr3:48356962-48356974	98JKPD8_lumA
MYNN_M08283_2.00	chr12:89918929-89918941	PU24GB8_lumB
MYNN_M08283_2.00	chr5:14208803-14208815	PU24GB8_lumB
MYNN_M08283_2.00	chr12:47651794-47651806	98JKPD8_lumA
MYNN_M08283_2.00	chr4:110515945-110515957	98JKPD8_lumA
MYNN_M08283_2.00	chr12:124968082-124968094	98JKPD8_lumA
MYNN_M08283_2.00	chr4:153166788-153166800	ANAB5F7_basal
MYNN_M08283_2.00	chr10:38010195-38010207	98JKPD8_lumA
