motif_id	region_id	sample_id
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr3:190778632-190778656	2GAMBDQ_norm
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr16:3283355-3283379	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr3:189626899-189626923	2GAMBDQ_norm
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr6:4490253-4490277	S6R691V_her2
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr10:98960721-98960745	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr2:234502410-234502434	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr10:48012021-48012045	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr17:75444336-75444360	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr4:53644856-53644880	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr17:57036244-57036268	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr21:16420332-16420356	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr12:14922463-14922487	2GAMBDQ_norm
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr11:1494849-1494873	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr10:6298361-6298385	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr6:155219618-155219642	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr8:118620951-118620975	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr5:14208792-14208816	PU24GB8_lumB
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr15:100732753-100732777	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr19:13637149-13637173	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr3:143210538-143210562	ANAB5F7_basal
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr6:32666616-32666640	98JKPD8_lumA
ZFP82_ZFP82_HUMAN.H11MO.0.C	chr7:55086935-55086959	ANAB5F7_basal
