motif_id	region_id	sample_id
TBX3_TBX3_HUMAN.H11MO.0.C	chr9:19127645-19127656	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr7:54665040-54665051	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr15:93048898-93048909	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr2:234502423-234502434	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr16:67246325-67246336	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chrX:119399330-119399341	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr1:107686028-107686039	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr19:35745217-35745228	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr1:38959816-38959827	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr20:56974512-56974523	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr5:174492604-174492615	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr12:51218301-51218312	PU24GB8_lumB
TBX3_TBX3_HUMAN.H11MO.0.C	chr16:9053385-9053396	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr10:59626195-59626206	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr10:43421039-43421050	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr8:143218353-143218364	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr21:44455159-44455170	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr18:12287559-12287570	2GAMBDQ_norm
TBX3_TBX3_HUMAN.H11MO.0.C	chr6:31272508-31272519	ANAB5F7_basal
TBX3_TBX3_HUMAN.H11MO.0.C	chr1:1504879-1504890	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr8:135335804-135335815	98JKPD8_lumA
TBX3_TBX3_HUMAN.H11MO.0.C	chr9:130200516-130200527	ANAB5F7_basal
