motif_id	region_id	sample_id
RARA_RARA_HUMAN.H11MO.0.A	chr4:116158910-116158930	2GAMBDQ_norm
RARA_RARA_HUMAN.H11MO.0.A	chr6:32972104-32972124	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr2:219387936-219387956	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr19:21328969-21328989	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr11:85628321-85628341	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr6:95577465-95577485	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr11:844054-844074	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr3:127304359-127304379	S6R691V_her2
RARA_RARA_HUMAN.H11MO.0.A	chr16:86798807-86798827	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr9:128159750-128159770	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr5:149442780-149442800	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr3:136195867-136195887	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr14:24442630-24442650	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr1:191420255-191420275	2GAMBDQ_norm
RARA_RARA_HUMAN.H11MO.0.A	chr20:45409696-45409716	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr6:20404178-20404198	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr9:129497301-129497321	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr14:91510714-91510734	S6R691V_her2
RARA_RARA_HUMAN.H11MO.0.A	chr5:177497006-177497026	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr12:1562849-1562869	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr12:124904720-124904740	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr17:50845853-50845873	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr22:49966878-49966898	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr21:43759221-43759241	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr10:93481632-93481652	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr1:54836246-54836266	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr13:18874913-18874933	2GAMBDQ_norm
RARA_RARA_HUMAN.H11MO.0.A	chr10:26438706-26438726	S6R691V_her2
RARA_RARA_HUMAN.H11MO.0.A	chr18:76394813-76394833	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr19:21787573-21787593	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr10:43077491-43077511	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr1:153452592-153452612	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr22:44766237-44766257	S6R691V_her2
RARA_RARA_HUMAN.H11MO.0.A	chr18:3817109-3817129	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr9:93115782-93115802	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr22:50697109-50697129	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr4:102575497-102575517	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr19:3338879-3338899	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr19:50325576-50325596	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr1:13901716-13901736	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr11:12599609-12599629	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr10:52999443-52999463	2GAMBDQ_norm
RARA_RARA_HUMAN.H11MO.0.A	chr2:203350292-203350312	2GAMBDQ_norm
RARA_RARA_HUMAN.H11MO.0.A	chr12:132871410-132871430	2GAMBDQ_norm
RARA_RARA_HUMAN.H11MO.0.A	chr6:32861540-32861560	ANAB5F7_basal
RARA_RARA_HUMAN.H11MO.0.A	chr10:133276670-133276690	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr6:168648963-168648983	98JKPD8_lumA
RARA_RARA_HUMAN.H11MO.0.A	chr2:47072811-47072831	98JKPD8_lumA
