motif_id	region_id	sample_id
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr1:85062283-85062294	98JKPD8_lumA
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr4:48017483-48017494	ANAB5F7_basal
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr11:69485649-69485660	PU24GB8_lumB
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr17:44007779-44007790	2GAMBDQ_norm
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr6:31815973-31815984	ANAB5F7_basal
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr12:13000836-13000847	98JKPD8_lumA
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr16:73360759-73360770	2GAMBDQ_norm
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr1:62296235-62296246	ANAB5F7_basal
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr1:180544179-180544190	98JKPD8_lumA
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr1:117059706-117059717	ANAB5F7_basal
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr9:84137716-84137727	2GAMBDQ_norm
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr6:24865096-24865107	ANAB5F7_basal
PKNX1_PKNX1_HUMAN.H11MO.0.B	chrX:40657786-40657797	2GAMBDQ_norm
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr4:68599378-68599389	2GAMBDQ_norm
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr6:41683229-41683240	ANAB5F7_basal
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr20:59084064-59084075	ANAB5F7_basal
PKNX1_PKNX1_HUMAN.H11MO.0.B	chr8:17470841-17470852	2GAMBDQ_norm
