motif_id	region_id	sample_id
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr1:72896014-72896026	2GAMBDQ_norm
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr8:16115432-16115444	2GAMBDQ_norm
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr6:32668355-32668367	98JKPD8_lumA
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr18:7272536-7272548	98JKPD8_lumA
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr16:50147348-50147360	ANAB5F7_basal
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr10:15343809-15343821	2GAMBDQ_norm
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr14:61359669-61359681	98JKPD8_lumA
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr18:42379104-42379116	2GAMBDQ_norm
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr1:77533777-77533789	98JKPD8_lumA
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr4:154945241-154945253	ANAB5F7_basal
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr10:98958552-98958564	PU24GB8_lumB
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr1:202048266-202048278	98JKPD8_lumA
MEF2D_MEF2D_HUMAN.H11MO.0.A	chr1:242129384-242129396	S6R691V_her2
