motif_id	region_id	sample_id
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr1:234958226-234958242	S6R691V_her2
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr20:8693826-8693842	ANAB5F7_basal
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr5:36301264-36301280	98JKPD8_lumA
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr20:49307217-49307233	98JKPD8_lumA
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr1:181127336-181127352	98JKPD8_lumA
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr8:40391073-40391089	PU24GB8_lumB
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr21:15978681-15978697	ANAB5F7_basal
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr3:8971211-8971227	98JKPD8_lumA
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr8:100809504-100809520	ANAB5F7_basal
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr3:66416798-66416814	98JKPD8_lumA
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr8:81996540-81996556	S6R691V_her2
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr21:29033439-29033455	S6R691V_her2
PO2F1_PO2F1_HUMAN.H11MO.0.C	chr13:70310875-70310891	98JKPD8_lumA
