motif_id	region_id	sample_id
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr8:138890052-138890064	2GAMBDQ_norm
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr5:36301262-36301274	98JKPD8_lumA
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr6:96427777-96427789	98JKPD8_lumA
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr17:64741477-64741489	ANAB5F7_basal
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr1:178551945-178551957	98JKPD8_lumA
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr18:59552162-59552174	ANAB5F7_basal
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr7:151736752-151736764	ANAB5F7_basal
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr3:64239123-64239135	2GAMBDQ_norm
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr6:52352892-52352904	ANAB5F7_basal
TEAD1_TEAD1_HUMAN.H11MO.0.A	chr6:30396949-30396961	ANAB5F7_basal
