motif_id	region_id	sample_id
GABPA_GABPA_HUMAN.H11MO.0.A	chr11:3477215-3477229	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr14:49620637-49620651	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr8:143355112-143355126	ANAB5F7_basal
GABPA_GABPA_HUMAN.H11MO.0.A	chr1:182391496-182391510	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr10:110434023-110434037	S6R691V_her2
GABPA_GABPA_HUMAN.H11MO.0.A	chr19:18571681-18571695	ANAB5F7_basal
GABPA_GABPA_HUMAN.H11MO.0.A	chr5:112921542-112921556	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr19:55675105-55675119	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr6:2841893-2841907	PU24GB8_lumB
GABPA_GABPA_HUMAN.H11MO.0.A	chr7:767999-768013	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr2:241735540-241735554	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr8:70217449-70217463	ANAB5F7_basal
GABPA_GABPA_HUMAN.H11MO.0.A	chr7:64666336-64666350	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr1:10794512-10794526	98JKPD8_lumA
GABPA_GABPA_HUMAN.H11MO.0.A	chr4:1246658-1246672	S6R691V_her2
GABPA_GABPA_HUMAN.H11MO.0.A	chr17:80025428-80025442	98JKPD8_lumA
