motif_id	region_id	sample_id
NFIC_NFIC_HUMAN.H11MO.0.A	chr1:37692271-37692288	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr5:119268540-119268557	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr18:8990796-8990813	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr9:136555095-136555112	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr10:133261972-133261989	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr17:1829792-1829809	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr16:1794216-1794233	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr5:132294065-132294082	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr11:34621165-34621182	S6R691V_her2
NFIC_NFIC_HUMAN.H11MO.0.A	chr17:48213927-48213944	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr7:73842626-73842643	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr19:17405818-17405835	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr16:1794582-1794599	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr19:1266319-1266336	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr7:74173328-74173345	S6R691V_her2
NFIC_NFIC_HUMAN.H11MO.0.A	chr16:1794765-1794782	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr9:136245766-136245783	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr13:93029907-93029924	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr6:4401567-4401584	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr5:56670151-56670168	S6R691V_her2
NFIC_NFIC_HUMAN.H11MO.0.A	chr19:57240406-57240423	S6R691V_her2
NFIC_NFIC_HUMAN.H11MO.0.A	chr9:97511881-97511898	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr5:128349432-128349449	S6R691V_her2
NFIC_NFIC_HUMAN.H11MO.0.A	chr11:13277290-13277307	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr1:181251206-181251223	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr11:3123432-3123449	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr17:50845855-50845872	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr10:18651857-18651874	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr15:74789401-74789418	S6R691V_her2
NFIC_NFIC_HUMAN.H11MO.0.A	chr14:61107336-61107353	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr1:153506997-153507014	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr11:79209754-79209771	PU24GB8_lumB
NFIC_NFIC_HUMAN.H11MO.0.A	chr5:171420542-171420559	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr5:177939969-177939986	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr7:54186534-54186551	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr19:15779805-15779822	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr17:385486-385503	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr19:10928166-10928183	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr1:229172234-229172251	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr17:64334223-64334240	ANAB5F7_basal
NFIC_NFIC_HUMAN.H11MO.0.A	chr10:97914873-97914890	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr6:7107452-7107469	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr1:109275893-109275910	98JKPD8_lumA
NFIC_NFIC_HUMAN.H11MO.0.A	chr22:42074589-42074606	ANAB5F7_basal
