motif_id	region_id	sample_id
POU5F1_M07976_2.00	chr11:13098198-13098215	ANAB5F7_basal
POU5F1_M07976_2.00	chr1:224305031-224305048	2GAMBDQ_norm
POU5F1_M07976_2.00	chr6:33289383-33289400	ANAB5F7_basal
POU5F1_M07976_2.00	chr3:139562308-139562325	ANAB5F7_basal
POU5F1_M07976_2.00	chr9:97062400-97062417	ANAB5F7_basal
POU5F1_M07976_2.00	chr18:60994800-60994817	2GAMBDQ_norm
POU5F1_M07976_2.00	chr16:87966154-87966171	98JKPD8_lumA
POU5F1_M07976_2.00	chr6:68635157-68635174	ANAB5F7_basal
POU5F1_M07976_2.00	chr14:91546324-91546341	S6R691V_her2
POU5F1_M07976_2.00	chr7:50681714-50681731	ANAB5F7_basal
POU5F1_M07976_2.00	chr14:83745155-83745172	PU24GB8_lumB
POU5F1_M07976_2.00	chr3:69739166-69739183	98JKPD8_lumA
POU5F1_M07976_2.00	chr13:70310877-70310894	98JKPD8_lumA
POU5F1_M07976_2.00	chr10:13700856-13700873	ANAB5F7_basal
POU5F1_M07976_2.00	chr6:47298954-47298971	S6R691V_her2
POU5F1_M07976_2.00	chr2:105937045-105937062	ANAB5F7_basal
POU5F1_M07976_2.00	chr2:3223523-3223540	98JKPD8_lumA
