motif_id	region_id	sample_id
COT1_COT1_HUMAN.H11MO.0.C	chr2:25041965-25041982	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr17:50533800-50533817	S6R691V_her2
COT1_COT1_HUMAN.H11MO.0.C	chr1:43389906-43389923	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr17:47100396-47100413	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr5:176361891-176361908	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr6:20404188-20404205	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr16:86798807-86798824	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr19:10644218-10644235	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr1:200891075-200891092	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr4:101346657-101346674	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr1:6245216-6245233	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr11:844054-844071	98JKPD8_lumA
COT1_COT1_HUMAN.H11MO.0.C	chr11:555218-555235	98JKPD8_lumA
COT1_COT1_HUMAN.H11MO.0.C	chr19:10653515-10653532	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr2:112588924-112588941	98JKPD8_lumA
COT1_COT1_HUMAN.H11MO.0.C	chr19:55600441-55600458	S6R691V_her2
COT1_COT1_HUMAN.H11MO.0.C	chr7:149125713-149125730	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr19:43182500-43182517	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr1:146229284-146229301	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr18:48997025-48997042	98JKPD8_lumA
COT1_COT1_HUMAN.H11MO.0.C	chr20:56974510-56974527	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr17:81396893-81396910	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr5:149442783-149442800	98JKPD8_lumA
COT1_COT1_HUMAN.H11MO.0.C	chr11:13098548-13098565	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr2:84920438-84920455	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr22:50697112-50697129	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr13:110338836-110338853	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr22:22557653-22557670	PU24GB8_lumB
COT1_COT1_HUMAN.H11MO.0.C	chr21:42974850-42974867	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr20:62970735-62970752	S6R691V_her2
COT1_COT1_HUMAN.H11MO.0.C	chr6:29762859-29762876	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr12:2795639-2795656	PU24GB8_lumB
COT1_COT1_HUMAN.H11MO.0.C	chr6:168016962-168016979	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr12:124904723-124904740	98JKPD8_lumA
COT1_COT1_HUMAN.H11MO.0.C	chr20:37865508-37865525	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr1:84759163-84759180	98JKPD8_lumA
COT1_COT1_HUMAN.H11MO.0.C	chr3:40780844-40780861	2GAMBDQ_norm
COT1_COT1_HUMAN.H11MO.0.C	chr19:46300944-46300961	2GAMBDQ_norm
COT1_COT1_HUMAN.H11MO.0.C	chr16:234553-234570	ANAB5F7_basal
COT1_COT1_HUMAN.H11MO.0.C	chr1:17304380-17304397	ANAB5F7_basal
