motif_id	region_id	sample_id
JUND_M07818_2.00	chr2:2613633-2613648	ANAB5F7_basal
JUND_M07818_2.00	chr13:44108583-44108598	98JKPD8_lumA
JUND_M07818_2.00	chr1:37661470-37661485	ANAB5F7_basal
JUND_M07818_2.00	chr8:104325641-104325656	ANAB5F7_basal
JUND_M07818_2.00	chr20:49307215-49307230	98JKPD8_lumA
JUND_M07818_2.00	chr22:31269922-31269937	PU24GB8_lumB
JUND_M07818_2.00	chr3:50151611-50151626	98JKPD8_lumA
JUND_M07818_2.00	chr7:149939520-149939535	2GAMBDQ_norm
JUND_M07818_2.00	chr1:195568338-195568353	98JKPD8_lumA
JUND_M07818_2.00	chr3:194985409-194985424	ANAB5F7_basal
