motif_id	region_id	sample_id
SP1_SP1_HUMAN.H11MO.0.A	chr17:50866562-50866584	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr8:142777366-142777388	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr19:18636866-18636888	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr1:230910356-230910378	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr1:203305406-203305428	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:56121396-56121418	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:10654178-10654200	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr16:21502550-21502572	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:14518469-14518491	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:49443593-49443615	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:3337164-3337186	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr22:35299807-35299829	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr17:67825362-67825384	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr10:73997811-73997833	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:8832652-8832674	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr19:56121310-56121332	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr17:8139022-8139044	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr5:119268540-119268562	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr15:97960860-97960882	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr3:84548319-84548341	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr12:56300458-56300480	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr22:41621257-41621279	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr3:9397383-9397405	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr21:39312442-39312464	PU24GB8_lumB
SP1_SP1_HUMAN.H11MO.0.A	chr3:155870363-155870385	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr2:44167947-44167969	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr14:106872693-106872715	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr21:43719032-43719054	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr22:19432327-19432349	PU24GB8_lumB
SP1_SP1_HUMAN.H11MO.0.A	chr5:132294348-132294370	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr2:208266226-208266248	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr9:128067281-128067303	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr9:132355269-132355291	PU24GB8_lumB
SP1_SP1_HUMAN.H11MO.0.A	chr9:87974566-87974588	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr14:35046386-35046408	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr3:127304137-127304159	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr11:9664008-9664030	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:18571667-18571689	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr19:35644362-35644384	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr17:41786658-41786680	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr5:10249675-10249697	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr9:6080471-6080493	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr10:133261967-133261989	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr11:61429972-61429994	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr2:170928901-170928923	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr19:7294487-7294509	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr4:107720428-107720450	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr16:16022157-16022179	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr1:54488272-54488294	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr1:182392342-182392364	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr12:131929162-131929184	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr9:6080398-6080420	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr3:136195869-136195891	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr12:123584560-123584582	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr8:102791265-102791287	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr8:1745831-1745853	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr12:120581515-120581537	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr2:45643742-45643764	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr10:133373471-133373493	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr8:37841665-37841687	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr3:3179735-3179757	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr7:111562437-111562459	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr11:64844890-64844912	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr16:86798807-86798829	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr1:151511730-151511752	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr3:52238909-52238931	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr17:17042435-17042457	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr7:149127609-149127631	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr14:37584865-37584887	PU24GB8_lumB
SP1_SP1_HUMAN.H11MO.0.A	chr1:33180894-33180916	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr20:45362915-45362937	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr14:103123502-103123524	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr15:93048897-93048919	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr11:844050-844072	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr16:57372936-57372958	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr1:225811032-225811054	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:921836-921858	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr5:132294059-132294081	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr12:9648063-9648085	ANAB5F7_basal
SP1_SP1_HUMAN.H11MO.0.A	chr1:109299119-109299141	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr4:56908273-56908295	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr12:13000838-13000860	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr3:48089384-48089406	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr14:94174197-94174219	98JKPD8_lumA
SP1_SP1_HUMAN.H11MO.0.A	chr19:52923556-52923578	S6R691V_her2
SP1_SP1_HUMAN.H11MO.0.A	chr2:231388618-231388640	ANAB5F7_basal
