motif_id	region_id	sample_id
ZBTB7A_M07937_2.00	chr21:39349257-39349272	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr19:10654184-10654199	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr19:56121407-56121422	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr19:14518480-14518495	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr8:126876825-126876840	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr15:97960856-97960871	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr1:9473167-9473182	S6R691V_her2
ZBTB7A_M07937_2.00	chr11:61429983-61429998	ANAB5F7_basal
ZBTB7A_M07937_2.00	chrX:135521741-135521756	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr7:22854362-22854377	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr10:74827023-74827038	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr6:95577471-95577486	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr8:100212888-100212903	PU24GB8_lumB
ZBTB7A_M07937_2.00	chr14:74493662-74493677	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr20:407967-407982	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr10:6163900-6163915	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr8:102791265-102791280	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr9:19127646-19127661	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr3:52238928-52238943	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr8:37841671-37841686	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr1:54488268-54488283	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr9:136866374-136866389	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr15:84748465-84748480	S6R691V_her2
ZBTB7A_M07937_2.00	chr1:966223-966238	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr10:69408800-69408815	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr15:93048903-93048918	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr11:844054-844069	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr19:921834-921849	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr12:9648074-9648089	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr22:46116647-46116662	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr10:133262167-133262182	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr13:71865268-71865283	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr9:96218275-96218290	ANAB5F7_basal
ZBTB7A_M07937_2.00	chr5:139788174-139788189	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr1:207316612-207316627	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr8:1745839-1745854	S6R691V_her2
ZBTB7A_M07937_2.00	chr2:218406008-218406023	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr14:94174193-94174208	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr2:112588932-112588947	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr8:144513830-144513845	S6R691V_her2
ZBTB7A_M07937_2.00	chr12:26125141-26125156	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr3:126655138-126655153	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr4:183444192-183444207	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr8:38466890-38466905	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr1:23778339-23778354	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr15:68820593-68820608	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr13:30464945-30464960	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr17:81097634-81097649	98JKPD8_lumA
ZBTB7A_M07937_2.00	chr1:246506827-246506842	ANAB5F7_basal
