motif_id	region_id	sample_id
CTCFL_MA1102.2	chr19:55599757-55599769	S6R691V_her2
CTCFL_MA1102.2	chr8:100212889-100212901	PU24GB8_lumB
CTCFL_MA1102.2	chr1:146228813-146228825	ANAB5F7_basal
CTCFL_MA1102.2	chr1:46719408-46719420	98JKPD8_lumA
CTCFL_MA1102.2	chr10:6163902-6163914	98JKPD8_lumA
CTCFL_MA1102.2	chr20:407969-407981	ANAB5F7_basal
CTCFL_MA1102.2	chr20:49593172-49593184	98JKPD8_lumA
CTCFL_MA1102.2	chr3:112561848-112561860	98JKPD8_lumA
CTCFL_MA1102.2	chr8:26458578-26458590	98JKPD8_lumA
CTCFL_MA1102.2	chr12:9648076-9648088	ANAB5F7_basal
CTCFL_MA1102.2	chr9:136866375-136866387	98JKPD8_lumA
CTCFL_MA1102.2	chr1:111204066-111204078	98JKPD8_lumA
CTCFL_MA1102.2	chr3:115196003-115196015	S6R691V_her2
CTCFL_MA1102.2	chr7:20331770-20331782	ANAB5F7_basal
CTCFL_MA1102.2	chrX:119399330-119399342	ANAB5F7_basal
CTCFL_MA1102.2	chr18:58402513-58402525	2GAMBDQ_norm
CTCFL_MA1102.2	chr18:48357207-48357219	98JKPD8_lumA
CTCFL_MA1102.2	chr10:123559521-123559533	ANAB5F7_basal
CTCFL_MA1102.2	chr1:84772522-84772534	98JKPD8_lumA
CTCFL_MA1102.2	chr8:22757860-22757872	2GAMBDQ_norm
CTCFL_MA1102.2	chr1:246506829-246506841	ANAB5F7_basal
