motif_id	region_id	sample_id
ZN350_ZN350_HUMAN.H11MO.0.C	chr1:84254035-84254053	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr4:36531115-36531133	2GAMBDQ_norm
ZN350_ZN350_HUMAN.H11MO.0.C	chr4:92835186-92835204	2GAMBDQ_norm
ZN350_ZN350_HUMAN.H11MO.0.C	chr14:20761036-20761054	S6R691V_her2
ZN350_ZN350_HUMAN.H11MO.0.C	chr12:754349-754367	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr5:54659695-54659713	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr7:32477203-32477221	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr10:8062020-8062038	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr17:82134284-82134302	2GAMBDQ_norm
ZN350_ZN350_HUMAN.H11MO.0.C	chr12:25135901-25135919	S6R691V_her2
ZN350_ZN350_HUMAN.H11MO.0.C	chr5:80471185-80471203	S6R691V_her2
ZN350_ZN350_HUMAN.H11MO.0.C	chr19:49452712-49452730	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr13:98292012-98292030	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr10:121598782-121598800	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr11:61159144-61159162	S6R691V_her2
ZN350_ZN350_HUMAN.H11MO.0.C	chr1:220523690-220523708	2GAMBDQ_norm
ZN350_ZN350_HUMAN.H11MO.0.C	chr6:31139474-31139492	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr16:25045230-25045248	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr4:185654908-185654926	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr10:29099343-29099361	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr1:181127232-181127250	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr13:106533098-106533116	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr1:223476393-223476411	PU24GB8_lumB
ZN350_ZN350_HUMAN.H11MO.0.C	chr2:71308288-71308306	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr11:57749125-57749143	2GAMBDQ_norm
ZN350_ZN350_HUMAN.H11MO.0.C	chr2:10435068-10435086	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr2:109702799-109702817	2GAMBDQ_norm
ZN350_ZN350_HUMAN.H11MO.0.C	chr13:72199198-72199216	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chrX:48917648-48917666	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr11:7576057-7576075	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr8:26409935-26409953	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr16:8678926-8678944	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr14:22614520-22614538	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr3:4741542-4741560	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr2:223052513-223052531	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr11:102279698-102279716	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr6:1485991-1486009	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr22:30045833-30045851	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr7:149127383-149127401	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr1:192575620-192575638	PU24GB8_lumB
ZN350_ZN350_HUMAN.H11MO.0.C	chr3:188526291-188526309	PU24GB8_lumB
ZN350_ZN350_HUMAN.H11MO.0.C	chr17:19507225-19507243	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr1:84280008-84280026	98JKPD8_lumA
ZN350_ZN350_HUMAN.H11MO.0.C	chr10:34123137-34123155	ANAB5F7_basal
ZN350_ZN350_HUMAN.H11MO.0.C	chr16:11359200-11359218	S6R691V_her2
