motif_id	region_id	sample_id
SOX3_SOX3_HUMAN.H11MO.0.B	chr12:80877323-80877334	2GAMBDQ_norm
SOX3_SOX3_HUMAN.H11MO.0.B	chr14:20761040-20761051	S6R691V_her2
SOX3_SOX3_HUMAN.H11MO.0.B	chr7:11890716-11890727	2GAMBDQ_norm
SOX3_SOX3_HUMAN.H11MO.0.B	chr8:1947844-1947855	98JKPD8_lumA
SOX3_SOX3_HUMAN.H11MO.0.B	chr3:43624754-43624765	ANAB5F7_basal
SOX3_SOX3_HUMAN.H11MO.0.B	chr11:114308348-114308359	98JKPD8_lumA
SOX3_SOX3_HUMAN.H11MO.0.B	chr2:86480375-86480386	98JKPD8_lumA
SOX3_SOX3_HUMAN.H11MO.0.B	chr11:64879363-64879374	98JKPD8_lumA
SOX3_SOX3_HUMAN.H11MO.0.B	chr3:136232647-136232658	2GAMBDQ_norm
SOX3_SOX3_HUMAN.H11MO.0.B	chr2:109677078-109677089	98JKPD8_lumA
SOX3_SOX3_HUMAN.H11MO.0.B	chr4:112361644-112361655	ANAB5F7_basal
