motif_id	region_id	sample_id
RORA_RORA_HUMAN.H11MO.0.C	chr4:7068173-7068186	PU24GB8_lumB
RORA_RORA_HUMAN.H11MO.0.C	chr18:8990795-8990808	98JKPD8_lumA
RORA_RORA_HUMAN.H11MO.0.C	chr1:43389903-43389916	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr10:103908413-103908426	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr6:20404185-20404198	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr11:844054-844067	98JKPD8_lumA
RORA_RORA_HUMAN.H11MO.0.C	chr1:203169837-203169850	2GAMBDQ_norm
RORA_RORA_HUMAN.H11MO.0.C	chr4:17614324-17614337	98JKPD8_lumA
RORA_RORA_HUMAN.H11MO.0.C	chr16:31459215-31459228	98JKPD8_lumA
RORA_RORA_HUMAN.H11MO.0.C	chr22:50190308-50190321	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr1:153506996-153507009	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr19:21787572-21787585	98JKPD8_lumA
RORA_RORA_HUMAN.H11MO.0.C	chr2:46988098-46988111	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr1:16913364-16913377	98JKPD8_lumA
RORA_RORA_HUMAN.H11MO.0.C	chr7:111138404-111138417	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr11:70117681-70117694	2GAMBDQ_norm
RORA_RORA_HUMAN.H11MO.0.C	chr11:12366503-12366516	S6R691V_her2
RORA_RORA_HUMAN.H11MO.0.C	chr9:90961452-90961465	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr19:12965302-12965315	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr6:133838043-133838056	ANAB5F7_basal
RORA_RORA_HUMAN.H11MO.0.C	chr13:91348161-91348174	98JKPD8_lumA
