motif_id	region_id	sample_id
NFYC_NFYC_HUMAN.H11MO.0.A	chr19:8832661-8832675	ANAB5F7_basal
NFYC_NFYC_HUMAN.H11MO.0.A	chr2:216012220-216012234	98JKPD8_lumA
NFYC_NFYC_HUMAN.H11MO.0.A	chr6:168390739-168390753	98JKPD8_lumA
NFYC_NFYC_HUMAN.H11MO.0.A	chr6:31815970-31815984	ANAB5F7_basal
NFYC_NFYC_HUMAN.H11MO.0.A	chr4:159010662-159010676	ANAB5F7_basal
NFYC_NFYC_HUMAN.H11MO.0.A	chr7:8437145-8437159	98JKPD8_lumA
NFYC_NFYC_HUMAN.H11MO.0.A	chr1:246805401-246805415	2GAMBDQ_norm
NFYC_NFYC_HUMAN.H11MO.0.A	chr1:180544179-180544193	98JKPD8_lumA
NFYC_NFYC_HUMAN.H11MO.0.A	chr1:7549440-7549454	98JKPD8_lumA
NFYC_NFYC_HUMAN.H11MO.0.A	chr7:7920782-7920796	ANAB5F7_basal
NFYC_NFYC_HUMAN.H11MO.0.A	chr17:31550433-31550447	PU24GB8_lumB
NFYC_NFYC_HUMAN.H11MO.0.A	chr5:177540659-177540673	98JKPD8_lumA
NFYC_NFYC_HUMAN.H11MO.0.A	chr7:28986075-28986089	98JKPD8_lumA
NFYC_NFYC_HUMAN.H11MO.0.A	chr7:17504149-17504163	S6R691V_her2
