motif_id	region_id	sample_id
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr3:40453190-40453200	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr1:205543183-205543193	ANAB5F7_basal
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr13:23488591-23488601	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr6:31717872-31717882	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr3:129626311-129626321	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr15:60398360-60398370	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr6:27894143-27894153	ANAB5F7_basal
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr15:74791938-74791948	S6R691V_her2
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr18:12419768-12419778	ANAB5F7_basal
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr11:57749125-57749135	2GAMBDQ_norm
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr2:57419172-57419182	PU24GB8_lumB
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr18:80177161-80177171	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr1:200115869-200115879	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr12:11650487-11650497	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr11:75723270-75723280	ANAB5F7_basal
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr3:124607306-124607316	ANAB5F7_basal
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr10:34123144-34123154	ANAB5F7_basal
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr5:173707020-173707030	98JKPD8_lumA
FOXK1_FOXK1_HUMAN.H11MO.0.A	chr4:144748746-144748756	2GAMBDQ_norm
