motif_id	region_id	sample_id
MYOD1_MA0499.2	chr15:99733404-99733417	ANAB5F7_basal
MYOD1_MA0499.2	chr1:46517187-46517200	98JKPD8_lumA
MYOD1_MA0499.2	chr5:178078010-178078023	98JKPD8_lumA
MYOD1_MA0499.2	chr11:86100184-86100197	ANAB5F7_basal
MYOD1_MA0499.2	chr19:29694782-29694795	ANAB5F7_basal
MYOD1_MA0499.2	chr1:38959813-38959826	ANAB5F7_basal
MYOD1_MA0499.2	chr3:111967881-111967894	ANAB5F7_basal
MYOD1_MA0499.2	chr3:50157209-50157222	98JKPD8_lumA
MYOD1_MA0499.2	chr20:44009023-44009036	98JKPD8_lumA
MYOD1_MA0499.2	chr6:139486205-139486218	S6R691V_her2
MYOD1_MA0499.2	chr12:112938509-112938522	98JKPD8_lumA
MYOD1_MA0499.2	chr1:172450473-172450486	ANAB5F7_basal
MYOD1_MA0499.2	chr1:46021599-46021612	98JKPD8_lumA
MYOD1_MA0499.2	chr19:45295115-45295128	ANAB5F7_basal
MYOD1_MA0499.2	chr15:88648462-88648475	98JKPD8_lumA
MYOD1_MA0499.2	chr12:130646320-130646333	PU24GB8_lumB
MYOD1_MA0499.2	chr2:130038140-130038153	98JKPD8_lumA
MYOD1_MA0499.2	chr16:81095803-81095816	ANAB5F7_basal
MYOD1_MA0499.2	chr16:66026317-66026330	98JKPD8_lumA
