motif_id	region_id	sample_id
RFX5_M08010_2.00	chr9:128128156-128128175	98JKPD8_lumA
RFX5_M08010_2.00	chr2:222656177-222656196	98JKPD8_lumA
RFX5_M08010_2.00	chr10:133261974-133261993	98JKPD8_lumA
RFX5_M08010_2.00	chr11:134331953-134331972	98JKPD8_lumA
RFX5_M08010_2.00	chr4:107719946-107719965	98JKPD8_lumA
RFX5_M08010_2.00	chr18:48997036-48997055	98JKPD8_lumA
RFX5_M08010_2.00	chr17:282765-282784	98JKPD8_lumA
RFX5_M08010_2.00	chr12:133079695-133079714	ANAB5F7_basal
RFX5_M08010_2.00	chr17:63773027-63773046	98JKPD8_lumA
RFX5_M08010_2.00	chr16:85474369-85474388	98JKPD8_lumA
RFX5_M08010_2.00	chr4:169010585-169010604	98JKPD8_lumA
RFX5_M08010_2.00	chr19:15673238-15673257	ANAB5F7_basal
RFX5_M08010_2.00	chr11:1515516-1515535	98JKPD8_lumA
