motif_id	region_id	sample_id
ZFP69B_M07685_2.00	chr1:119711915-119711927	ANAB5F7_basal
ZFP69B_M07685_2.00	chr20:32483620-32483632	98JKPD8_lumA
ZFP69B_M07685_2.00	chr12:12095155-12095167	PU24GB8_lumB
ZFP69B_M07685_2.00	chr13:46894168-46894180	ANAB5F7_basal
ZFP69B_M07685_2.00	chr6:37516911-37516923	98JKPD8_lumA
ZFP69B_M07685_2.00	chr17:78421958-78421970	98JKPD8_lumA
ZFP69B_M07685_2.00	chr15:99057794-99057806	ANAB5F7_basal
ZFP69B_M07685_2.00	chr17:81044948-81044960	98JKPD8_lumA
ZFP69B_M07685_2.00	chr17:81239501-81239513	98JKPD8_lumA
ZFP69B_M07685_2.00	chr8:18957525-18957537	2GAMBDQ_norm
ZFP69B_M07685_2.00	chr21:41779414-41779426	S6R691V_her2
ZFP69B_M07685_2.00	chr5:129904533-129904545	98JKPD8_lumA
ZFP69B_M07685_2.00	chr1:201696143-201696155	98JKPD8_lumA
ZFP69B_M07685_2.00	chr4:23920975-23920987	ANAB5F7_basal
ZFP69B_M07685_2.00	chr6:31268930-31268942	98JKPD8_lumA
ZFP69B_M07685_2.00	chr7:91347918-91347930	98JKPD8_lumA
ZFP69B_M07685_2.00	chr19:14413835-14413847	ANAB5F7_basal
ZFP69B_M07685_2.00	chr21:43603346-43603358	ANAB5F7_basal
ZFP69B_M07685_2.00	chr19:43827555-43827567	98JKPD8_lumA
ZFP69B_M07685_2.00	chr19:47773944-47773956	ANAB5F7_basal
ZFP69B_M07685_2.00	chr12:70796028-70796040	PU24GB8_lumB
