motif_id	region_id	sample_id
MAFK_MAFK_HUMAN.H11MO.0.A	chr2:38515494-38515512	98JKPD8_lumA
MAFK_MAFK_HUMAN.H11MO.0.A	chr9:33290523-33290541	98JKPD8_lumA
MAFK_MAFK_HUMAN.H11MO.0.A	chr6:161435097-161435115	ANAB5F7_basal
MAFK_MAFK_HUMAN.H11MO.0.A	chr1:32716426-32716444	ANAB5F7_basal
MAFK_MAFK_HUMAN.H11MO.0.A	chr11:11218913-11218931	98JKPD8_lumA
MAFK_MAFK_HUMAN.H11MO.0.A	chr7:2758407-2758425	98JKPD8_lumA
MAFK_MAFK_HUMAN.H11MO.0.A	chr1:171488565-171488583	98JKPD8_lumA
MAFK_MAFK_HUMAN.H11MO.0.A	chr11:63848080-63848098	ANAB5F7_basal
MAFK_MAFK_HUMAN.H11MO.0.A	chr8:20203328-20203346	ANAB5F7_basal
MAFK_MAFK_HUMAN.H11MO.0.A	chr2:9812606-9812624	2GAMBDQ_norm
MAFK_MAFK_HUMAN.H11MO.0.A	chr3:32045746-32045764	S6R691V_her2
MAFK_MAFK_HUMAN.H11MO.0.A	chr6:29762854-29762872	ANAB5F7_basal
MAFK_MAFK_HUMAN.H11MO.0.A	chr2:168119650-168119668	98JKPD8_lumA
MAFK_MAFK_HUMAN.H11MO.0.A	chr3:11706755-11706773	S6R691V_her2
