motif_id	region_id	sample_id
E2F4_M07943_2.00	chr1:976925-976940	2GAMBDQ_norm
E2F4_M07943_2.00	chr19:14518472-14518487	98JKPD8_lumA
E2F4_M07943_2.00	chr15:97960864-97960879	98JKPD8_lumA
E2F4_M07943_2.00	chr2:219387937-219387952	98JKPD8_lumA
E2F4_M07943_2.00	chr4:107720440-107720455	98JKPD8_lumA
E2F4_M07943_2.00	chr6:95577478-95577493	ANAB5F7_basal
E2F4_M07943_2.00	chr2:219388088-219388103	98JKPD8_lumA
E2F4_M07943_2.00	chr18:12991387-12991402	ANAB5F7_basal
E2F4_M07943_2.00	chr4:56908277-56908292	98JKPD8_lumA
E2F4_M07943_2.00	chr1:207818339-207818354	98JKPD8_lumA
E2F4_M07943_2.00	chr19:35268502-35268517	98JKPD8_lumA
E2F4_M07943_2.00	chr3:136195863-136195878	98JKPD8_lumA
E2F4_M07943_2.00	chr2:170928904-170928919	ANAB5F7_basal
E2F4_M07943_2.00	chr1:23778339-23778354	98JKPD8_lumA
E2F4_M07943_2.00	chr10:69408792-69408807	98JKPD8_lumA
E2F4_M07943_2.00	chr17:47843203-47843218	2GAMBDQ_norm
